Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Q
11 Mar 2019,Anonymous Employee,Business Analyst,Accepted Offer,Positive Experience,,I applied through college or university. I interviewed at Fannie Mae.,Application,How would you handle conflict? Â  Answer Question
16 Apr 2019,"Anonymous Employee in Plano, TX (US)",Software Engineer-II,Accepted Offer,Positive Experience,Difficult Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Fannie Mae (Plano, TX (US)) in March 2019.",Application,How to design and end to end test. Â  Answer Question
7 Mar 2019,Anonymous Interview Candidate,Technical,No Offer,Negative Experience,Average Interview,I applied through an employee referral. The process took 5+ months. I interviewed at Fannie Mae in March 2019.,Application,How does the internet work? Â  Answer Question
13 Mar 2019,"Anonymous Employee in Blacksburg, VA (US)",Intern,Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 3 weeks. I interviewed at Fannie Mae (Blacksburg, VA (US)) in February 2019.",Application,They asked me basic questions based off of my resume and things I said during the interview Â  1 Answer
6 Mar 2019,"Anonymous Interview Candidate in Blacksburg, VA (US)",Business Analyst,Declined Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae (Blacksburg, VA (US)) in February 2019.",Application,Tell me how you faced a challenge in a group setting and the steps you took to overcome it? Â  Answer Question
9 Mar 2019,"Anonymous Employee in Washington, DC (US)",Business Analyst,Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 2+ months. I interviewed at Fannie Mae (Washington, DC (US)) in January 2019.",Application,Describe your research experience. Â  Answer Question
6 Dec 2018,Anonymous Employee,Talent Acquisition,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Fannie Mae.,Application,"During the process, they asked behavioral questions and job specific questions. Â  Answer Question"
15 Jan 2019,"Anonymous Employee in Washington, DC (US)",Economic Model Analyst,Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 3 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in December 2018.",Application,Why choose the company Â  Answer Question
15 Nov 2018,"Anonymous Interview Candidate in Washington, DC (US)",Financial Engineer,No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2+ months. I interviewed at Fannie Mae (Washington, DC (US)).",Application,What does Fannie Mae do? Â  Answer Question
17 Dec 2018,"Anonymous Employee in Plano, TX (US)",IT,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 1 day. I interviewed at Fannie Mae (Plano, TX (US)) in November 2018.",Application,Baseline questions concerning the relevant technologies Â  1 Answer
1 Nov 2018,Anonymous Employee,Technical,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Fannie Mae.,Application,What is one time you had to work in a group/ how did you deal with that? Â  Answer Question
10 Mar 2020,"Anonymous Interview Candidate in College Park, MD (US)",Rotational Development Associate,No Offer,Neutral Experience,Difficult Interview,"I applied through college or university. The process took 1 day. I interviewed at Fannie Mae (College Park, MD (US)) in November 2018.",Application,What is your understanding of what we do Â  Answer Question
3 Nov 2018,"Anonymous Interview Candidate in College Park, MD (US)",Non-Technical,Declined Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae (College Park, MD (US)) in October 2018.",Application,What does it mean to manage a team? Â  Answer Question
28 Sep 2018,Anonymous Interview Candidate,Staff Accountant,Declined Offer,Positive Experience,Average Interview,I applied online. I interviewed at Fannie Mae.,Application,"What do you know about Fannie Mae?
Walk through your resume. Â  Answer Question"
17 Oct 2018,"Anonymous Interview Candidate in Washington, DC (US)",Product Analyst,No Offer,Positive Experience,Easy Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in September 2018.",Application,Why do you want to work at Fannie Mae? Â  Answer Question
7 Oct 2018,Anonymous Employee,Software Development,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae in September 2018.,Application,What was your favorite class? Â  1 Answer
28 Mar 2019,"Anonymous Interview Candidate in Washington, DC (US)",Business Analyst,No Offer,Positive Experience,Easy Interview,"I applied through college or university. I interviewed at Fannie Mae (Washington, DC (US)) in September 2018.",Application,Describe how you are a team player Â  1 Answer
8 Mar 2020,"Anonymous Interview Candidate in Washington, DC (US)",Financial Economist,No Offer,Negative Experience,Average Interview,"I applied through an employee referral. The process took 4 days. I interviewed at Fannie Mae (Washington, DC (US)) in September 2018.",Application,My past experience. Â  Answer Question
14 Aug 2018,Anonymous Employee,Sr. Software Engineer,Accepted Offer,Negative Experience,Average Interview,"One Hour interview with project team members.

Fannie Mae has always had a reputation for hiring ONLY Asian employees for their technical department (mainly because most of the technical managers are Asian). Yes. 100% Nepotism.

In a city as diverse as Washington, DC with a 3.1% Asian population, the Fannie teams are 100% Asian. Consider this before accepting a position. All though the interviewers were somewhat hostile, they ultimately recommended me for position.",Application,What are some of your greatest technical accomplishments? Â  Answer Question
25 Jul 2018,Anonymous Employee,Cyber Security Analyst III,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 5 weeks. I interviewed at Fannie Mae.,Application,Depends on which point in the process you're at Â  3 Answers
23 Mar 2020,"Anonymous Employee in Washington, DC (US)",Compliance,Accepted Offer,Positive Experience,Easy Interview,"I applied through a recruiter. The process took 2+ months. I interviewed at Fannie Mae (Washington, DC (US)) in August 2018.",Application,Tell us about your past experience and how it may relate to the current role. Â  1 Answer
29 Apr 2018,Anonymous Interview Candidate,Business Analyst/Tester,No Offer,Positive Experience,Difficult Interview,I applied through an employee referral. The process took 2 weeks. I interviewed at Fannie Mae in April 2018.,Application,What do you know about Fannie Mae Â  Answer Question
30 Aug 2018,"Anonymous Interview Candidate in Herndon, VA (US)",Business Analyst,No Offer,Negative Experience,Difficult Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Fannie Mae (Herndon, VA (US)) in April 2018.",Application,the interview was nothing related to what my experience or job description was. a senior developer was conducting the interview and expected me to have detailed knowledge of a developer. Â  Answer Question
7 May 2018,"Anonymous Employee in Plano, TX (US)",Change Agent II,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at Fannie Mae (Plano, TX (US)) in April 2018.",Application,"Multiple step, Case Study Â  Answer Question"
22 Mar 2018,"Anonymous Employee in Washington, DC (US)",Process Improvement Analyst II,Accepted Offer,Negative Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at Fannie Mae (Washington, DC (US)).",Application,Type of Lean and Six Sigma tools you use. Experience with Agile. Whatâs the right amount of people for a Kaizen? Just generic lean six sigma questions Â  Answer Question
28 Feb 2018,"Anonymous Employee in New York, NY (US)",Business Analyst,Accepted Offer,Positive Experience,Easy Interview,"The process took 2+ weeks. I interviewed at Fannie Mae (New York, NY (US)).",Application,how do you handle conflict Â  Answer Question
11 Apr 2018,"Anonymous Interview Candidate in Washington, DC (US)",Capital Markets Risk Analyst I,No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 2 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in March 2018.",Application,How do you go about calculating the prepayment risk for a MBS? Â  1 Answer
23 Sep 2018,"Anonymous Employee in Washington, DC (US)",Strategy & Insights - Project Lead,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in March 2018.",Application,Describe a time when you proposed an initiative and how did you execute it? Â  1 Answer
27 Dec 2019,Anonymous Interview Candidate,Project Analyst IV,No Offer,Neutral Experience,Difficult Interview,I applied through a recruiter. I interviewed at Fannie Mae in March 2018.,Application,What advanced excel tools have you used and how did you use them? Â  Answer Question
2 Mar 2018,Anonymous Employee,Product Development Manager,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 6 weeks. I interviewed at Fannie Mae in February 2018.,Application,How do you evaluate progress? Â  1 Answer
11 Jun 2018,Anonymous Interview Candidate,Design,No Offer,Negative Experience,Easy Interview,I applied through an employee referral. The process took 3+ months. I interviewed at Fannie Mae in January 2018.,Application,Tell me about your day to day Â  Answer Question
1 Jul 2019,"Anonymous Employee in Herndon, VA (US)",QA Analyst,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Fannie Mae (Herndon, VA (US)) in January 2018.",Application,"SQL, Unix & Autosys experience. Â  1 Answer"
18 Dec 2017,Anonymous Interview Candidate,User Experience Design,No Offer,Neutral Experience,Average Interview,I applied through college or university. I interviewed at Fannie Mae.,Application,What is your design process like? Â  Answer Question
14 Dec 2017,Anonymous Employee,Operations and Technology Associate,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Fannie Mae.,Application,"Does Java have pointers?
Does Java support multiple inheritance? Â  Answer Question"
12 Dec 2017,Anonymous Interview Candidate,Senior Data Analyst,No Offer,Negative Experience,Easy Interview,I applied online. I interviewed at Fannie Mae.,Application,General technical question and asked to write outer join SQL Â  Answer Question
30 Nov 2017,Anonymous Employee,Associate,Accepted Offer,Positive Experience,Average Interview,"Brief on-campus interview followed by a company day with 3 interviews. All interviewers were very friendly. It was intimidating at first, but once I felt comfortable it was very natural.",Application,Mostly behavioral questions with some questions asking for more specific experiences. Â  1 Answer
20 Aug 2018,Anonymous Employee,Software Engineer(Internship),Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 1 day. I interviewed at Fannie Mae in December 2017.,Application,He asked about my projects. Â  Answer Question
9 Nov 2017,Anonymous Interview Candidate,Software Engineer(Internship),No Offer,Neutral Experience,Easy Interview,I applied through college or university. I interviewed at Fannie Mae.,Application,Why Fannie Mae? Â  Answer Question
4 Nov 2017,"Anonymous Employee in Washington, DC (US)",Manager,Accepted Offer,Neutral Experience,Average Interview,"I applied through an employee referral. The process took 3+ months. I interviewed at Fannie Mae (Washington, DC (US)).",Application,Search online for behavioral interview questions and you will be prepared. Â  Answer Question
8 Oct 2017,"Anonymous Interview Candidate in Dallas, TX (US)",Software Engineer,No Offer,Positive Experience,Easy Interview,"I applied through college or university. I interviewed at Fannie Mae (Dallas, TX (US)).",Application,What do you know about Fannie Mae? Â  2 Answers
31 Oct 2017,"Anonymous Employee in Washington, DC (US)",Financial Engineer,Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Fannie Mae (Washington, DC (US)) in October 2017.",Application,"What does Fannie Mae do? How have you demonstrated curiosity, problem solving and quantitative ability? What coding projects have you worked on? Fannie has 17 million mortgage securities, how would you valuate how much they are all worth in total? Derive Black-Scholes (only if strong math background/major). Â  Answer Question"
9 Oct 2017,Anonymous Interview Candidate,Financial Engineer,No Offer,Neutral Experience,Average Interview,I applied through college or university. The process took 1 day. I interviewed at Fannie Mae in October 2017.,Application,Talk to me about your coding experience/projects you've coded with R/SAS/Etc Â  Answer Question
20 Oct 2017,Anonymous Interview Candidate,Financial Engineer,No Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Fannie Mae in October 2017.,Application,What do you know about Fannie Mae and how do your skills fit with the role? Â  Answer Question
11 Sep 2018,"Anonymous Employee in College Park, MD (US)",Software Development,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at Fannie Mae (College Park, MD (US)) in October 2017.",Application,What is an interface? Â  Answer Question
29 Sep 2017,Anonymous Employee,Accountant,Accepted Offer,Positive Experience,Average Interview,A phone interview with a recruiter and an on-site interview with 4 interviewers. 2 - 3 behavioral questions and discussing my qualifications on the resume per interviewer. Great conversations discussing their expectations for the role and my background.,Application,Why do you want to work for Fannie Mae? Do you know what Fannie Mae does? How would handle a situation when you have communication difficulties such as someone misunderstood what you said? Â  Answer Question
21 Sep 2017,Anonymous Employee,College,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Fannie Mae.,Application,What can you tell us about Fannie Mae? Â  Answer Question
21 Sep 2017,Anonymous Employee,Capital Markets O&T,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Fannie Mae.,Application,Tell us about the biggest project you have completed. Â  Answer Question
21 Oct 2017,"Anonymous Interview Candidate in College Park, MD (US)",Software Engineer(),Declined Offer,Negative Experience,Easy Interview,"I applied through college or university. The process took 2+ months. I interviewed at Fannie Mae (College Park, MD (US)) in September 2017.",Application,What are the four concepts of object-oriented programming? Â  Answer Question
13 Nov 2017,"Anonymous Employee in School Gardens, MD (US)",Rotational Program,Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Fannie Mae (School Gardens, MD (US)) in September 2017.",Application,Describe a time you overcame a problem and what did you do to achieve it? Â  Answer Question
25 Aug 2017,Anonymous Employee,Director of Project Management,Accepted Offer,Neutral Experience,Easy Interview,I applied through an employee referral. I interviewed at Fannie Mae.,Application,
12 Jul 2017,Anonymous Interview Candidate,Financial Economist,Declined Offer,Negative Experience,Average Interview,I applied online. I interviewed at Fannie Mae.,Application,"They asked technical questions like limit distribution, how to calculate premium.. etc. Questions are not hard but check some econometrics book. Â  Answer Question"
24 Jun 2017,"Anonymous Employee in Washington, DC (US)",Financial Analyst III,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Fannie Mae (Washington, DC (US)) in June 2017.",Application,Tell us about yourself and why you want to leave your company. Â  1 Answer
3 Aug 2017,Anonymous Interview Candidate,Strategy & Insights Analyst,No Offer,Negative Experience,Difficult Interview,I applied online. I interviewed at Fannie Mae in June 2017.,Application,Detailed math questions based off of a spreadsheet. Â  1 Answer
16 May 2017,Anonymous Interview Candidate,Consultant,Declined Offer,Neutral Experience,Average Interview,I applied through other source. I interviewed at Fannie Mae.,Application,"Do you have experience in with mortgage systems? If not, have you worked with financial systems in the past doing requirements or analysis Â  Answer Question"
1 May 2017,Anonymous Employee,Contractor,Accepted Offer,Positive Experience,Easy Interview,I applied through a staffing agency. I interviewed at Fannie Mae.,Application,To explain some of my experiences that match the job requirements. Â  1 Answer
27 Jun 2017,Anonymous Interview Candidate,Credit Risk Analyst II,No Offer,Negative Experience,Average Interview,I applied online. The process took 4+ weeks. I interviewed at Fannie Mae in May 2017.,Application,Why Fannie Mae? Â  Answer Question
29 Aug 2017,"Anonymous Interview Candidate in Dallas, TX (US)",User Experience Designer,No Offer,Negative Experience,Average Interview,"I applied online. I interviewed at Fannie Mae (Dallas, TX (US)) in May 2017.",Application,How have you worked with developers before? Â  Answer Question
9 Apr 2017,Anonymous Interview Candidate,Business Analyst,No Offer,Neutral Experience,Average Interview,"Was contacted my a recruiter a month after I applied. The position I applied for was for business analyst. When the recruiter emailed me, she told me I would be interviewed for a rotational analyst program. I went into the interview expecting them to ask me questions related to analyst positions but they were all behavioral. The interview was pretty intense. 5 back to back 1 to 1 interviews.",Application,why do you want to work for fannie mae? Â  Answer Question
3 Apr 2017,Anonymous Employee,IT Engineer III,Accepted Offer,Neutral Experience,Easy Interview,I applied through other source. I interviewed at Fannie Mae.,Application,
22 Mar 2017,Anonymous Interview Candidate,Intern,Declined Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Fannie Mae.,Application,Ask mea question regarding data structures Â  Answer Question
14 Mar 2017,"Anonymous Interview Candidate in Pasadena, CA (US)",Project Management,No Offer,Neutral Experience,Average Interview,"I applied online. I interviewed at Fannie Mae (Pasadena, CA (US)) in March 2017.",Application,Why work for them and am I willing to give up my company Â  Answer Question
17 Mar 2017,"Anonymous Employee in Washington, DC (US)",Operations and Technology Associate,Accepted Offer,Positive Experience,,"I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in March 2017.",Application,Talk about your backgroud Â  1 Answer
17 Feb 2017,"Anonymous Interview Candidate in Dallas, TX (US)",Mortgage Consultant,No Offer,Neutral Experience,Easy Interview,"I applied online. I interviewed at Fannie Mae (Dallas, TX (US)).",Application,Walk me through your resume. Â  Answer Question
12 Apr 2017,"Anonymous Interview Candidate in Herndon, VA (US)",Marketing Specialist III,No Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Fannie Mae (Herndon, VA (US)) in February 2017.",Application,What are your three biggest strengths and biggest weaknesses? Â  Answer Question
6 Mar 2017,"Anonymous Employee in Charlottesville, VA (US)",Intern,Accepted Offer,Neutral Experience,Easy Interview,"I applied through a recruiter. The process took 4 weeks. I interviewed at Fannie Mae (Charlottesville, VA (US)) in February 2017.",Application,How did you hear about Fannie Mae? Â  Answer Question
18 Nov 2016,"Anonymous Interview Candidate in Dallas, TX (US)",Credit Risk Analyst,No Offer,Neutral Experience,Average Interview,"I applied through an employee referral. The process took 5 weeks. I interviewed at Fannie Mae (Dallas, TX (US)) in November 2016.",Application,Give us an example of a time when you had to go against the norm or take initiative? Â  Answer Question
1 Dec 2016,"Anonymous Interview Candidate in Herndon, VA (US)",Senior Business Analyst,No Offer,Negative Experience,Easy Interview,"I applied through a recruiter. The process took 4 weeks. I interviewed at Fannie Mae (Herndon, VA (US)) in October 2016.",Application,Stakeholders management and process flow related questions Â  Answer Question
21 Mar 2018,"Anonymous Employee in Washington, DC (US)",Paralegal,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at Fannie Mae (Washington, DC (US)) in October 2016.",Application,"To describe strength and weakness, what added value will I bring to the position. Â  2 Answers"
25 Oct 2016,"Anonymous Employee in Washington, DC (US)",Financial Engineer,Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in October 2016.",Application,How would you appraise a property if you can't survey it? Â  Answer Question
11 Mar 2017,"Anonymous Interview Candidate in Washington, DC (US)",Analyst,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at Fannie Mae (Washington, DC (US)) in October 2016.",Application,How would you go about obtaining status that you need from other team members with different roles? Â  Answer Question
15 Oct 2016,Anonymous Interview Candidate,Senior Applications Developer,Declined Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 1+ week. I interviewed at Fannie Mae in October 2016.,Application,"Release management, unix, autosys and SQL, java Â  Answer Question"
10 Sep 2016,"Anonymous Interview Candidate in Washington, DC (US)",Legal Operations Project Manager,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 1+ week. I interviewed at Fannie Mae (Washington, DC (US)).",Application,Why made you apply for this position? Â  Answer Question
13 Sep 2016,Anonymous Interview Candidate,Software Engineer,No Offer,Neutral Experience,Difficult Interview,I applied through a staffing agency. The process took 1 day. I interviewed at Fannie Mae.,Application,"Describe a negative group experience in development, and how you resolved the issue. Â  Answer Question"
4 Nov 2016,"Anonymous Interview Candidate in Washington, DC (US)",Business Analyst,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Fannie Mae (Washington, DC (US)) in September 2016.",Application,What has been your greatest accomplishment in your career Â  1 Answer
2 Aug 2016,"Anonymous Interview Candidate in Washington, DC (US)",Research Associate,No Offer,Negative Experience,Difficult Interview,"I applied through a staffing agency. I interviewed at Fannie Mae (Washington, DC (US)).",Application,Three case interviews based off of economic and statistical knowledge. Â  Answer Question
