Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Q
"Nov 18, 2019","Anonymous Interview Candidate in Las Vegas, NV",Assistant Buyer Interview,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at The Zappos Family (Las Vegas, NV) in October 2019.","There were three separate interviews. Two on the phone and the last interview was actually several at the Zappos campus. It took a little over a month. At this point, Iâm waiting on my offer.",Why Zappos? Questions about Zappos culture. Â  Answer Question
"Oct 31, 2019","Anonymous Interview Candidate in Las Vegas, NV",Director of Sales Interview,No Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 4 weeks. I interviewed at The Zappos Family (Las Vegas, NV) in October 2019.","Very thorough! Tour of the campus, numerous interviews and fun lunch bonding. Spent most of the day meeting with several different groups, but felt like I needed more time with some people.",Starbucks or home-brew? Â  1 Answer
"Oct 28, 2019","Anonymous Interview Candidate in Las Vegas, NV",Director of Sales Interview,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 1 day. I interviewed at The Zappos Family (Las Vegas, NV) in October 2019.","My interview started with viewing a series of company video clips depicting the culture of the company, their (10) Core Values, as well as a a glimpse into the lifestyle of their CEO, Tony Hsieh. Following the video introduction, I was led by their Tour Guide, Ryo, on a tour of the corporate office/campus. I got to see each department, meet some of the Zapponians along the way, see the fitness center and the indoor/outdoor Cafe. Following my tour, I was dropped off on in a Conference Room #6 (Tower 2nd Floor) where I was introduced to and interviewed by Joseph Grusman, General Manager of E-Commerce. Following my interview with Joseph, I was introduced to Crysti Howser, Director of Operations & Business Development/Partnership and spent an hour with Crysti reviewing my experience and qualifications for the Director of Sales Position and discussing Crysti's key objectives for the Zappos@Work Division. Following my interview with Crysti, I was introduced to Jeffrey Espersen, General Manager of Merchandising and Curtis Fairbourn, Finance Manager. During my interview with Jeff and Curtis, we reviewed my experience and qualifications for the Director of Sales Position, discussed their key objectives for the Zappos@Work Division., and I shared my list of key target accounts and my book of business with them. Following my interview with Jeff and Curtis, I went to lunch at the Eureka Restaurant with Crysti Howser, Christy Colgan, Kevin Inoue, Jason Cardoza, Natalie Mercado, Edward, and (1) additional Zapponians whose name I don't recall. After we returned to the corporate after lunch, I interviewed with Kevin Inoue, Customer Relations Specialist and Alexander Cantu, Senior Buyer. During my interview with Kevin and Alexander, we reviewed my experience and qualifications for the Director of Sales Position, and discussed their key objectives for the Zappos@Work Division., Both Kevin and Alexander asked me a series of questions and I answered each one openly and honestly. In addition, I shared my list of key target accounts and my book of business with them. Following my interview with Kevin and Alexander, Cherice Wingfield, Recruiter, intoduced herself and advised me that Amy Stewart, Director of Events & Tours, would not be joining us as she was not available. Therefore, my final interview for the day was strictly with Cherice. Cherice asked me a series of questions and I answered each one of her questions with complete transparency. Following our discussion, Cherice advised me that I should hear back from Zappos within 3-5 business days, and she walked me back to the lobby area.",Q1: Crysti advised me that the Director of Sales role would start with an emphasis on new business development and evolve into a both a sales and a sales management role. She asked me if I would be confident performing both roles. Â  1 Answer
"Oct 23, 2019","Anonymous Interview Candidate in Las Vegas, NV",Director of Sales Interview,No Offer,Positive Experience,Average Interview,"I applied through other source. The process took 2 weeks. I interviewed at The Zappos Family (Las Vegas, NV) in October 2019.","It started with a great tour of their HQ. The lady conducting the tour was PHENOMENAL. After that, I met with representatives from HR, then the team and managers I would HOPEFULLY be working with. I can't say enough about how great the entire process was. I was treated with honesty, respect, and integrity throughout the entire process. I could feel and see the Zappos core values in each personal transaction I had throughout the day. I realize not every company can have the same culture as Zappos, after all , that's what makes them unique. I do wish other organizations took the hiring process as serious as Zappos does.",What would the companies you worked for previously say about you? Â  Answer Question
"Sep 21, 2019",Anonymous Employee,Merchandise Assistant Interview,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2+ months. I interviewed at The Zappos Family.,"The interview process is rather long. You interview with multiple people from HR, the team you're applying with, managers... it's all to see if you'll be a fit with the team. Being a culture fit is the most important thing, so the questions won't be boring.","If you could write an autobiography, what would it be called? Â  Answer Question"
"Aug 26, 2019","Anonymous Employee in Las Vegas, NV",Portfolio Analyst Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 6 weeks. I interviewed at The Zappos Family (Las Vegas, NV) in August 2019.",Originally applied online. Recruiter reached out to me for a phone screen one week later. I was then asked to complete a case study and Excel test. The test included working with pivot tables and a P&L analysis. The team liked my case study so they set up a phone interview with the hiring manager to review the case. A week later I was asked onsite to their HQ in Las Vegas. Onsite was consecutive 30 minute interviews with two new interviewers each round. The onsite included an off site lunch with the team which was the best part of the whole experience!,Why Zappos? Tell me about the last conflict you had with your team. Â  Answer Question
"Jun 12, 2019","Anonymous Employee in Las Vegas, NV",Senior Finance Analyst Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4+ weeks. I interviewed at The Zappos Family (Las Vegas, NV) in June 2019.","Had an initial interview call with their recruiter, she was fantastic and made the experience less like an interview and more like an exploratory process. This was followed up with a technical interview a few days later. The technical interview was very fast paced and 30 minutes was not enough time, but my interviewer was extremely efficient in using the limited amount of time to dive into some good questions. I would make sure to have bullets of your past experience and be sure to convey your experiences in a clear and concise manner. The third interview was an onsite full day of interviews. Again the theme was less interview awkwardness and more conversational. It is a long day of questions and every thirty minutes you have a fresh interviewer. 80% of the questions were technical related and focused more on the thought process than technical skills. I would make sure you are familiar with Zappos history, value proposition, competitors, and trends in the market.","I was asked something to the effect of ""If I asked you to investigate why our gross margin was declining, what information would you seek?"" Â  Answer Question"
"May 5, 2019",Anonymous Interview Candidate,Software Engineer(Internship) Interview,Declined Offer,Positive Experience,Average Interview,I applied online. I interviewed at The Zappos Family.,"Virtual interview, selected for the on-site interview in Las Vegas. The manager and the HR team are very co-operative. I was interviewed by a panel of 3 managers. They were very friendly.","Behavioral questions, string manipulation questions Â  Answer Question"
"Jun 3, 2019","Anonymous Interview Candidate in Las Vegas, NV",Software Engineer(Internship) Interview,No Offer,Positive Experience,Average Interview,"The process took 2 weeks. I interviewed at The Zappos Family (Las Vegas, NV) in May 2019.","Had a pre-recorded behavioral interview, which lead to an onsite visit at their Las Vegas office. Got a tour of their campus, one whiteboarding technical interview and one short behavioral interview before we had happy hour with everybody from the company who wanted to come.","Class design questions, based on the three OOP principles Â  Answer Question"
"Apr 2, 2019",Anonymous Interview Candidate,Financial Planning Analyst Interview,No Offer,Positive Experience,Average Interview,The process took 2+ months. I interviewed at The Zappos Family.,"There are 4 rounds:
1. First round with HR, this interview is to check whether you know about Zappos and how excited are you to hear from Zappos. I cleared this round.
2. 2nd interview is with Manager from team, who would talk to you about the technical skills, behaviour questions. It is about 45 mins. If your skills match with the job description, you will clear this round and move to next round.
3. It is an Excel test. Since I applied for Financial Analyst role. I got the finance related excel test. You get an hour to complete the test. Go through basic P&l statement analysis, vlookup, pivot table.
4. Finally I got the onsite interview. It was an awesome day at Vegas. Interviewed with team. The interview revolves around cultural values. You need to culturally fir well with the team and also talk technical experience that matches with JD.
I did get the offer but it was a learning experience.",Tell me about yourself? Why Zappos ? What you dont like at your present job ? What are your weaknesses abs how are you working on them ? Â  Answer Question
"Dec 20, 2018","Anonymous Interview Candidate in Las Vegas, NV",Customer Loyalty Specialist Interview,Declined Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at The Zappos Family (Las Vegas, NV).",Interesting to say the least they ask a broad range of skills questions and also asked questions about your personality so just be open and honest about who you are as a person and your skill set. They prefer people with no skills so they can train you.,If you were a animal which one would you be and why? They also asked questions related to your skills but they prefer people with no customer service skills Â  1 Answer
"Feb 11, 2019",Anonymous Interview Candidate,Software Engineer - Front End Interview,No Offer,Negative Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at The Zappos Family in December 2018.,"Typical phone call with the recruiter to check your list of skills and see if you are a good cultural fit. Followed up with a technical phone screen with the group of developers you would work with.

I will say although the interview was easy enough and fairly standard I felt like it was a waste of time. They wanted to proceed with an onsite interview, but my salary expectations set during the first phone call was too high. They proceeded with the interview regardless.","Study up on basic CSS, HTML, & JavaScript questions. Â  Answer Question"
"Jan 17, 2019",Anonymous Interview Candidate,Human Resources Interview,No Offer,Negative Experience,Average Interview,I applied online. The process took 3+ months. I interviewed at The Zappos Family in November 2018.,"Started with an initial call with the recruiter, who was very friendly. The next step was to speak with a member of the team, one of the HR Business Partners. The HRBP was nice as well, though she sounded a bit rushed. Afterwards, over the next two months I would occasionally check in with the recruiter since I never heard back regarding the interview, asking if she had an update from the interviewer and letting her know by the second month that I was progressing in the interview process with other companies. She would apologize for the delay and let me know she was going to find out right away what next steps would be. I then wouldn't hear back. By the third month I assumed nothing was going to happen. Strange experience because I interviewed with Amazon and Twitch (Twitch and Zappos are owned by Amazon), and both were prompt in responding.",Tell me about your background and why you're interested in Zappos. Â  Answer Question
"Dec 29, 2018","Anonymous Employee in Las Vegas, NV",Accounting Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2+ months. I interviewed at The Zappos Family (Las Vegas, NV) in November 2018.","This will be fairly long but should cover the whole process for an accounting intern, for other internships things will probably be a little different. The process was pretty simple. It started with e-mailng your resume to the college recruiter. They will then send an e-mail with the link to the virtual interview and you'll have about a week to complete it. With an accounting internship there is no need for a cover letter video. After the video interview they invite you to the on-campus interviews. It is a full day of around 30 minute interviews, lunch with the other interviewees and interviewers, and lastly the hour long culture interview. The interviews aren't difficult but they will want to see your personality. My advice is to be friendly with not just the interviewers but also the other people who want the internship. Talk with them during lunch and try to make a good impression. Most questions on the video interview are pretty out there as most people expect of Zappos, but the in person interviews were a lot more simple and revolved around the contents of your resume, values, personality, and your knowledge of accounting. They will ask accounting questions but they are pretty basic. For the culture interview, the questions are again pretty standard, there will be a lot of time for you to ask questions. Make them personal and fun also find something interesting about yourself that will make you stand out so you can mention it. If you have any accounting questions do not ask the recruiter since they are not very familiar with the accounting department. Instead ask the more general questions. The biggest advice I have is to be yourself. You don't have to be super quirky. Just be yourself and you'll probably stand out more than the people who are trying to fit Zappos' ""culture"". If they like you they will send you an e-mail with an offer. Then you will receive a background check e-mail to complete . Once that is passed they will send you an official offer which you will sing online and then you will receive all of the information needed for your first day.",What is the difference between depreciation and amortization? Â  1 Answer
"Feb 1, 2019",Anonymous Interview Candidate,Front End Developer Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 4 weeks. I interviewed at The Zappos Family in October 2018.,"The interview consisted of one 30 min phone interview, followed by two technical challenges done on HackerRank. One was a javascript challenge and the other a web design challenge. After each challenge you met with the coding team and did a question and answer session on your challenges (they call it code defense).",How crazy are you on a scale of 1 to 10? Why? Â  Answer Question
"Sep 29, 2018",Anonymous Interview Candidate,User Experience Designer Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at The Zappos Family.,"I applied online and was given a first round video interview, behavioral questions and some technical questions about design. The questions are different from regular behavioral interview questions and design questions about design tools, etc.",What is weird about you? Â  Answer Question
"Apr 6, 2018",Anonymous Interview Candidate,Data Analyst Interview,No Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at The Zappos Family.,"I applied online. The first application is kind of long. After you made it to the second round, you have to do a challenge and a virtual interview. The challenge is simply to take insights of data (a lot of data!) and prepare a report. They are not specific in what they want. The interview the computer record your answer and they ask you six questions. They are technical and personality questions.",What supply in the kitchen would you be? Â  Answer Question
"May 2, 2018","Anonymous Interview Candidate in Champaign, IL",Data Scientist Interview,No Offer,Positive Experience,Difficult Interview,"I applied online. I interviewed at The Zappos Family (Champaign, IL) in April 2018.","apply online , then nearly immediate got the online assess, including a virtual interview and a tech challenge, which would have a week to finish. It seems the virtual interview was very important.",self introduce Â  1 Answer
"Mar 22, 2018","Anonymous Interview Candidate in New York, NY",Customer Loyalty Team Member Interview,No Offer,Negative Experience,Difficult Interview,"The process took 4+ weeks. I interviewed at The Zappos Family (New York, NY).","Do not waste time unless you know somebody who works there. What ever you do do not act like you have any sense. Be a complete wierdo, also if well spoken dumb it down. If you are not a wierdo or socially awkward you will not be hired. If you are honest you will not be hired. Quilifacations mean 0 which is fine. So if they think you are not hipster or bit too well dressed, in shape or too attractive you will not get job. Also to note long process so factor that in. They give standard pr bs email apply in 6 months. People have bills get a grip.",Zombie apocalypse what would you do.? Â  Answer Question
"Mar 1, 2018",Anonymous Interview Candidate,User Experience Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 4 weeks. I interviewed at The Zappos Family.,There was a virtual interview that asked questions about my experience and why I would be a great fit. I also had to complete a challenge that tested my skills.,What inspires you? Â  Answer Question
"Sep 30, 2018",Anonymous Interview Candidate,Senior Software Engineer Interview,No Offer,Negative Experience,Easy Interview,I applied online. The process took a week. I interviewed at The Zappos Family in March 2018.,Didn't get the job after asking for an ADA Reasonable Accommodation for my weekly doctors visits during the mandatory customer call service training. I'm currently exploring my legal options. If you have a disability be very wary of disclosing it to Zappos.,Combination problems. Â  Answer Question
"Apr 23, 2018","Anonymous Interview Candidate in Las Vegas, NV",UX Designer Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took a week. I interviewed at The Zappos Family (Las Vegas, NV) in March 2018.",First you must do a one way video interview and send in a concept solution for a certain issue. My issue was finding friends at a music festival when your phone is dead and you didn't agree on a meeting place.,Why UX Design? Â  Answer Question
"Feb 27, 2018",Anonymous Interview Candidate,Data Analyst Interview,No Offer,Neutral Experience,Average Interview,I applied through college or university. I interviewed at The Zappos Family.,You have to do a virtual interview and a challenge. You will have 2 chances to complete the virtual interview and most of questions are to get to know your personality. There were 2 questions relating to statistic general knowledge,why do you choose Zappos? Â  Answer Question
"Mar 8, 2018",Anonymous Interview Candidate,Software Engineer(Internship) Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 3 weeks. I interviewed at The Zappos Family in February 2018.,The first phase of selection was a Hackerrank challenge followed by a virtual interview. The candidates selected after this were supposed to be called in for an on-site interview. The hacker rank problem wasn't that hard. There was sufficient time of 2:30 hr for solving fours questions.,What will you do if I gifted you an elephant and elephant loves you so much? Â  Answer Question
"Feb 26, 2018","Anonymous Interview Candidate in Las Vegas, NV",Software Engineer(Internship) Interview,No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 4+ weeks. I interviewed at The Zappos Family (Las Vegas, NV) in February 2018.",Tough and abstract coding questions. The manager and recruiter were extremely friendly. The coding test was very complex. Focus on medium to hard coding challenges. Geared towards completing challenging questions very quickly.,Complex string manipulation. Â  Answer Question
"Mar 11, 2018",Anonymous Interview Candidate,Data Science - Software Engineering College Interview,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at The Zappos Family in February 2018.,"I was asked to finish a recorded virtual interview as well as a Restful API powered by Hackerrank. There were about 9 questions in the virtual interview, most of which were behavioral questions while 2-3 of them were related to basic development knowledge.",Why Zappos? Â  Answer Question
"Dec 26, 2017","Anonymous Interview Candidate in Las Vegas, NV",Buying Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at The Zappos Family (Las Vegas, NV) in October 2017.","I submitted a video cover letter and application, got a virtual recorded interview, then flown out to Las Vegas for the final round. It was a very fun trip and I felt it went well, though I did not get an offer. Everyone was super nice at Zappos and they seemed to have a culture that stands up to their great reputation.",What is one thing that really gets you angry? Â  Answer Question
"Sep 28, 2017",Anonymous Interview Candidate,Data Anlytics Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at The Zappos Family.,"I applied online and get the code challenge and video interview together.
Code challenge: Given a dataset, find any insight using any tools;
Video Interview: You can do it twice. 8 questions: 5 behavior +3 technical",Introduce yourself Â  Answer Question
"Sep 27, 2017","Anonymous Interview Candidate in Las Vegas, NV",Brand Management and Partnership Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 days. I interviewed at The Zappos Family (Las Vegas, NV) in September 2017.","For the video interview, you were given 9 questions that were given with a text prompt, and you had thirty seconds to read the question and prepare and two minutes to answer each question. The video interview was definitely unique in the sense that no one was on the other side to talk to you.",What is a kitchen utensil you identify most with? Â  Answer Question
"Jan 29, 2018","Anonymous Interview Candidate in Durham, NC",Pricing Interview,No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at The Zappos Family (Durham, NC) in September 2017.","1. Apply online
2. Wait for Application Confirmation
3. Finish one assignment and one virtual interview
4. Wait for the result
5. If you pass the interview, you will proceed to the next round",Why do you want to work with Zappos Â  Answer Question
"Oct 28, 2017",Anonymous Interview Candidate,Business Analyst Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at The Zappos Family in September 2017.,"Required to submit the challenge they gave. The topic is suggesting a technical feature that should be put on Zappos. After finishing the challenge and virtual interview, they contacted me that I failed the first step interview.",What is A/B test? Which kitchen utensil you like the most? Why Zappos? Â  Answer Question
"Aug 22, 2017",Anonymous Employee,Customer Loyalty Team Member Interview,Accepted Offer,Positive Experience,Average Interview,The process took 3+ weeks. I interviewed at The Zappos Family.,Zappos called back pretty quick. Within a few days. Phone interview was followed by an in person/Skype a couple weeks later! Zappos recruiters were friendly and informative throughout the process!,"What song would you wish played, when you walked into the room? Â  Answer Question"
"Aug 18, 2017","Anonymous Interview Candidate in New York, NY",Payroll Analyst Interview,No Offer,Positive Experience,Average Interview,"The process took 2+ months. I interviewed at The Zappos Family (New York, NY).",It was a very long process but very enjoyable it started out by filling out the application (within a week )being in contact with a recruiter emails going back-and-forth two phone interviews one with HR the other with payroll A online assessment and then a in person interview and spending the day at Zappos.,"What's your favorite thing about Payroll

What is the most enjoyable part

What's your least favorite part Â  Answer Question"
"Aug 11, 2017",Anonymous Interview Candidate,Software Engineering CollegePosition Interview,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at The Zappos Family.,"First, they sent me a mail clearly explaining all the rounds and hourly pay. I took the online coding test from hacker rank I was given 5 questions and 2 hours of time. After passing that I was provided with a link where I need to give virtual interview for the questions. Finally, you will fly to Las Vegas for final round.","If you have to stay in deserted island, what are the two things you will carry? Â  Answer Question"
"Aug 10, 2017","Anonymous Interview Candidate in Las Vegas, NV",Accounts Payable Interview,No Offer,Positive Experience,Easy Interview,"I applied in-person. The process took 4+ weeks. I interviewed at The Zappos Family (Las Vegas, NV).","What an amazing interview process! There were email correspondences, phone interviews, then the next step was to come to the Zappos office and spend the day. It included a tour of the Zappos campus, some one on one interviews, and lunch! They make the interview process very comfortable, so be yourself!! They want to get to know you to make sure you're a culture fit. :) It's unlike anywhere else, and just having the opportunity to experience it was incredible. So thankful. I didn't get an offer ;( but I loved the process.","If you could have an office parade, what would the theme be? Â  Answer Question"
"Sep 12, 2017","Anonymous Employee in Las Vegas, NV",Customer Loyalty Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at The Zappos Family (Las Vegas, NV) in August 2017.","I filled out the Online Application followed by online assessment followed by a virtual interview...a few days later, i was invited for an in person interview conducted by HR and customer loyalty lead",Name 2 people you would most want to have lunch with Â  1 Answer
"Jul 12, 2017","Anonymous Interview Candidate in Las Vegas, NV",Accounts Payable Interview,No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at The Zappos Family (Las Vegas, NV) in July 2017.",I believe it was very informative and exciting. I learned a lot about the company in general. The tour was very educational as well. The people I met with were pleasant and really enjoyed working for Zappo's.,If you could plan our next department outing what would it be. Â  1 Answer
"Aug 8, 2017",Anonymous Employee,Customer Loyalty Team Member Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at The Zappos Family in June 2017.,"After submitting the initial application, I got an email about a week later to take a personality test and complete a couple of fun assessments. Throughout the process you get to see a little bit about their culture in an interactive video, which was pretty cool. After that, it took about another week before I heard back to submit a video interview, where they basically prep the questions and you record your answers in video form. If you pass that stage, you are eventually called in for a face-to-face interview which is basically to see if you're a good culture fit!",What would you do in a zombie apocalypse? Â  Answer Question
"May 24, 2017",Anonymous Interview Candidate,Business Operations & Analytics College Interview,No Offer,Positive Experience,Easy Interview,I applied online. The process took 5+ weeks. I interviewed at The Zappos Family.,"1- Solve a case: how to improve the recommendations system
2- Online interview: 10 behavioral questions with 2 tries per question
3- On site interviews: a behavioral interview and a technical interview. The technical interview had optimization and business analysis questions. The behavioral interview was basically talking about yourself",How would you improve the returning system? Â  Answer Question
"May 15, 2017","Anonymous Employee in Las Vegas, NV",Customer Loyalty Team Member Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4+ weeks. I interviewed at The Zappos Family (Las Vegas, NV) in May 2017.","I applied online for the CLT position. The whole process took about a month.

If you get accepted you are then tested on your knowledge, technically and culturally. After that, you are going to be doing a virtual interview (about 7 questions) where you have to record yourself answering the questions. After I submitted those above, I waited for about 2 weeks and got an face-to-face interview at the headquarters.

The interview lasted about an hour. There was a lot of scenario questions and a part where you had to role play as if you were in the call center. It was a bit difficult for me but I answered them honestly. The people interviewing me were very friendly. Although I was nervous, they made me feel comfortable when I was getting interviewed. I got offered the job by the next week.

Some advice: Just be yourself :-)","If you were to plan a parade, what kind of theme would you throw for this event? Â  Answer Question"
"Jun 26, 2017","Anonymous Employee in Las Vegas, NV",Customer Loyalty Team Member Interview,Accepted Offer,Neutral Experience,Easy Interview,"I applied online. I interviewed at The Zappos Family (Las Vegas, NV) in May 2017.","Sooooo long, but ultimately, so worth it. Went through multiple steps including video ""interviews"", typing tests, culture fits, in-person interview, etc. It lasted about a month from application submission, to receiving the job offer.",What is the first thing you would do in the case of a zombie apocolyps? Â  1 Answer
"Nov 18, 2017","Anonymous Interview Candidate in Provo, UT",Software Engineer Interview,No Offer,Negative Experience,Easy Interview,"I applied online. I interviewed at The Zappos Family (Provo, UT) in April 2017.","Phone Interview Scheduled, No Call.. The interviewer never called. So disappointing as I made a point to be available at the time specified. I believe I was not contacted due to my age, so if you apply, be aware you will be illegally discriminated against.","The Interviewer never called, cited family emergency. Â  1 Answer"
"Mar 21, 2017",Anonymous Interview Candidate,Summer Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took a week. I interviewed at The Zappos Family.,"Had a small Technical Interview at HackerRank followed by a video Interview which had to be recorded and sent to them. I didn't get selected after the video round, response time deserves a positive comment.",What three things would you take to an island with you. Â  Answer Question
"Mar 5, 2017",Anonymous Interview Candidate,Software Development Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at The Zappos Family.,"The first round is online coding with 5 questions. They're pretty simple. The second is a virtual interview with some technical and behavior questions. After passing those two rounds, there's a onsite interview.",what would you bring in a deserted island? Â  1 Answer
"Feb 21, 2017",Anonymous Interview Candidate,Merchandising Interview,No Offer,Positive Experience,Average Interview,The process took a week. I interviewed at The Zappos Family.,"After applying they will send you a link to a Virtual interview and a challenge based on which job you are applying for. You must complete the challenge, for merchandising was a 15 post instagram, and then the virtual interview. They will reply within the month.",What would you take to a deserted island? Â  Answer Question
"Mar 6, 2017",Anonymous Interview Candidate,Intern Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 3 weeks. I interviewed at The Zappos Family in February 2017.,behavioral interview - video interview - using taketheinterview - 7 questions - decent enough - just want to know your attitude and your representation - 1st round coding challenge - 2nd round behavioral - 3rd round final in vegas - interview,why zappos? what do you love about coding? Â  Answer Question
