Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Nov 15, 2019",Ford College Graduate Interview,"Anonymous Employee in Boston, MA",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 3+ months. I interviewed at Ford Motor Company (Boston, MA) in September 2019.",Interviewed after career fair at school. Interview was mainly behavioral with a panel of Ford engineers. Interview is around 30 minutes. Make sure you review your resume well before going to the interview.,Tell us more project xx on your resume. What were the challenges and how did you resolve them? Â  Answer Question
"Nov 10, 2019",CAD Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2 weeks. I interviewed at Ford Motor Company.,"Fue bastante bueno ya que se involucraron bastantes Ã¡reas (RH, ingenieria, etc) lo que hace que los filtros sean buenos. Sin embargo, las personas de RH no saben mucho de la posiciÃ³n y si tienes dudas especificas de que vas a hacer, posibilidades a futuro y demÃ¡s, preguntale directamente a tu supervisor. Ellos sabrÃ¡n guarte mucho mejor.",Â¿En que proyectos has estado involucrado y cuales fueron las tareas especificas que realizaste? Â  Answer Question
"Nov 9, 2019",Trainee Interview,Anonymous Employee in Ciudad de MÃ©xico (Mexico),Accepted Offer,Positive Experience,Average Interview,I applied through a staffing agency. The process took 3 weeks. I interviewed at Ford Motor Company (Ciudad de MÃ©xico (Mexico)) in August 2019.,Primeramente te llaman por el telÃ©fono despuÃ©s de que hayas mandado tu CV y te hacen una entrevista en inglÃ©s. DespuÃ©s de algÃºn tiempo te llaman otra vez para agendarte una entrevista con el que va a hacer tÃº jefe. En la entrevista te preguntan cosas sobre ti sobre lo que sabes de la industria automotriz y finalmente algo en inglÃ©s. La entrevista es fÃ¡cil pero si es necesario investigar sobre la industria.,Â¿Que sabes de la industria automotriz? Â  1 Answer
"Nov 6, 2019",FCG Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 5+ months. I interviewed at Ford Motor Company (Dearborn, MI).","Interview was at the campus with 3 people, they had a standard questionnaire they had to go off of and then they took turns asking the situational questions and would have some follow-ups on your answers",How would you handle a difficult coworker Â  Answer Question
"Oct 28, 2019",Intern Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 4 weeks. I interviewed at Ford Motor Company.,Applied online and talked to a recruiter during career fair. Got interviewed by 2 people who were both very nice and made me feel welcomed. Heard back after 3-4 weeks.,"If you were working at a power plant and one of the machines broke down, how would you address the situation? Â  Answer Question"
"Oct 27, 2019",Product Development Interview,"Anonymous Employee in Ann Arbor, MI",Accepted Offer,Positive Experience,,"I applied through a recruiter. I interviewed at Ford Motor Company (Ann Arbor, MI) in September 2017.",Basic behavioral interview. Asked about my experiences and my priorities in the workplace as well as how I would behave in certain scenarios. No technical questions they liked that I had some knowledge about ford as a company and asked lots of questions.,If one of your colleges is not listening to protocol how do you deal with it? Â  1 Answer
"Oct 22, 2019",Technical Services Analyst Interview,"Anonymous Interview Candidate in Rexburg, ID",No Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Rexburg, ID) in October 2019.","Ford regularly visits BYU-Idaho, the process to sign up for an interview was simple. We had to fill out the online application for the job, then select a time slot throughout the day for an interview.
The staff conducting the interviews were very personable and professional. It was an overall positive experience.",When has been a time where you've had to make an important/big decision with little information and/or time to decide? Â  Answer Question
"Oct 20, 2019",Intern Interview,Anonymous Interview Candidate,Declined Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company.,"I met with representatives from Ford at my college career fair, and after passing on my resume and applying online, was invited to interview on-campus. The on-campus interview was a brief 30 minute behavioral interview where we mostly discussed past experiences, and a few hypotheticals. After short amount of time, I was offered the position.",Describe a time you had a disagreement with someone on your team? Â  Answer Question
"Oct 15, 2019",QA Analyst Interview,"Anonymous Employee in Little Warley, England (UK)",Accepted Offer,Positive Experience,Average Interview,"I applied through a staffing agency. The process took a week. I interviewed at Ford Motor Company (Little Warley, England (UK)) in September 2015.",telephone interview with two people asking the questions followed by a face to face interview with the same two people asking the same questions again for about 45 mins.Offer was made a couple of days later. I started work for them the following week,Whats is a responsive site? Â  Answer Question
"Oct 15, 2019",Software Engineer Interview,Anonymous Interview Candidate in Chennai (India),No Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Ford Motor Company (Chennai (India)) in September 2019.,"I applied through online in company website,they sent call letter through mail the recruitment process take one day in ford motor company office and first round was written test .",Techincal questions Â  Answer Question
"Oct 13, 2019",ATER temps partiel Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied in-person. I interviewed at Ford Motor Company.,"Best thing is the pretty consistent bonuses around several thousand dollars depending on the level. The worst is the healthcare, which can leave you paying a large medical bill that you weren't expending - although it's not so bad. I've also heard other companies can get much higher 401K matching. I got up to 5% of base pay at a rate of $0.90 on the dollar.","Best thing is the pretty consistent bonuses around several thousand dollars depending on the level. The worst is the healthcare, which can leave you paying a large medical bill that you weren't expending - although it's not so bad. I've also heard other companies can get much higher 401K matching. I got up to 5% of base pay at a rate of $0.90 on the dollar. Â  1â¦Â  AnswerShow More"
"Oct 11, 2019",Audit Associate Interview,"Anonymous Employee in New York, NY",Accepted Offer,Neutral Experience,Easy Interview,"I applied online. The process took 5 days. I interviewed at Ford Motor Company (New York, NY) in June 2016.","They brought me in and gave me a serious of questions. It wasn't anything special, it was close to what you would expect at any other interview; straight, to the point, and kurt. If you made it this far then the likelyhood was that you got the job.",Why are you here? Â  1 Answer
"Oct 9, 2019",Auto Detailer Interview,"Anonymous Employee in Halifax, NS (Canada)",Accepted Offer,Negative Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Ford Motor Company (Halifax, NS (Canada)) in September 2018.","Over the phone interview. May be in person. Not really an interview, just goes over the job description. They ask what your expecting for pay but you will receive minimum wage.",What am expecting for oay Â  1 Answer
"Oct 7, 2019",Systems Engineer Interview,"Anonymous Employee in Baltimore, MD",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took a week. I interviewed at Ford Motor Company (Baltimore, MD) in October 2019.","It was great. Everyone was very friendly, typical STAR questions. I really enjoyed talking to them and telling them about myself and my experiences. I told them about my past work and internships.",When is a time you improved a process? Â  1 Answer
