Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Q
"Feb 9, 2020","Anonymous Interview Candidate in Boston, MA",Principal Data Scientist,No Offer,Negative Experience,Easy Interview,"I applied through an employee referral. The process took 6+ months. I interviewed at Verizon (Boston, MA) in January 2020.",Application,"Generic behavioral questions assessing my understanding of the data science process, ""cultural fit"" interview, more behavioral questions; nothing technical, nothing statistical. Â  Answer Question"
"Dec 1, 2019","Anonymous Employee in Morristown, NJ",Sr Manager,Accepted Offer,Positive Experience,Difficult Interview,"I applied in-person. The process took 3 weeks. I interviewed at Verizon (Morristown, NJ).",Application,tell me about a time.... Â  Answer Question
"Dec 27, 2019",Anonymous Interview Candidate,MBA,No Offer,Negative Experience,Average Interview,I applied through college or university. The process took a week. I interviewed at Verizon in December 2019.,Application,"Tell me about yourself
Why Verizon?
Tell me about a time you used data to inform a decision
Tell me about a time when you delivered results despite time pressure
Tell me about a time when you received constructive feedback Â  Answer Question"
"Nov 25, 2019",Anonymous Interview Candidate,Internship,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Talk about a time you were forced to work under a time crunch. Â  Answer Question
"Nov 15, 2019",Anonymous Interview Candidate,Internship,No Offer,Neutral Experience,Average Interview,I applied online and got a video interview with 7 behavioral questions. You can film yourself answering the questions up to two times and have a lot of time to think.,Application,Why do you want to work at Verizon and how does this align to your career goals? Â  Answer Question
"Nov 8, 2019",Anonymous Interview Candidate,Integrated Marketing Communications Manager,No Offer,Positive Experience,,First screening call was with talent acquisition. Based on my experience they recommended me for a more senior role. Was contacted 2 weeks later for a 1 hr phone interview with hiring manger. This got rescheduled a few times due to busy schedules as this seems to be a newly formed team.,Application,What software did I use for project communications/ project management previously? Â  1 Answer
"Nov 8, 2019",Anonymous Employee,Business Operations,Accepted Offer,Neutral Experience,Average Interview,I applied through an employee referral. I interviewed at Verizon.,Application,What is your greatest strength Â  Answer Question
"Jan 10, 2020","Anonymous Employee in Cary, NC",Internship,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Verizon (Cary, NC) in November 2019.",Application,"They asked about my work in school, how my classes related to the work I was going to do. Â  Answer Question"
"Jan 4, 2020","Anonymous Interview Candidate in Basking Ridge, NJ",Benefits Consultant,No Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 4+ weeks. I interviewed at Verizon (Basking Ridge, NJ) in November 2019.",Application,Can you provide an example of a difficult employee or vendor encounter? What was the situation? Â  Answer Question
"Jan 10, 2020","Anonymous Interview Candidate in Irving, TX",Customer Support,No Offer,Negative Experience,Difficult Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Irving, TX) in November 2019.",Application,"They asked about situations you have encountered in the past, how you responded and what was the end result. I felt like I did not answer the way they wanted me to...they wanted it very structured according to some paradigm I wasn't familiar with. You will want to practice this type of interviewing. Â  Answer Question"
"Apr 2, 2020","Anonymous Interview Candidate in Austin, TX",Network Engineer,No Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Verizon (Austin, TX) in November 2019.",Application,What are some past projects you've worked on? Â  Answer Question
"Nov 15, 2019","Anonymous Employee in Gastonia, NC",Customer Service Representative,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Gastonia, NC) in November 2019.",Application,2 role play scenarios Â  1 Answer
"Feb 25, 2020","Anonymous Employee in Silver Spring, MD",Fiber Customer Support Analyst,Accepted Offer,Negative Experience,Easy Interview,"I applied through a recruiter. The process took 3+ months. I interviewed at Verizon (Silver Spring, MD) in November 2019.",Application,What percentage of your current job is troubleshooting? Â  1 Answer
24 Oct 2019,Anonymous Interview Candidate,Software Engineer(Internship),No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Most questions were behavioral Â  Answer Question
18 Oct 2019,Anonymous Interview Candidate,Solutions Specialist,Declined Offer,Neutral Experience,Difficult Interview,The process took 2 weeks. I interviewed at Verizon.,Application,Lots of questions about sales techniques and pushback from heavy sales push. Â  Answer Question
16 Oct 2019,Anonymous Interview Candidate,Retail Sales Associate,Declined Offer,Neutral Experience,Easy Interview,I applied online. I interviewed at Verizon.,Application,"Why Verizon
What do you like about the brand
Who is your current service provider
Why you over others for this role Â  Answer Question"
9 Oct 2019,Anonymous Interview Candidate,IT,Declined Offer,Neutral Experience,Easy Interview,I applied online. I interviewed at Verizon.,Application,What makes you a good candidate for the job? Â  Answer Question
7 Oct 2019,"Anonymous Interview Candidate in Ashburn, VA (US)",Lead Financial Analyst,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 2+ months. I interviewed at Verizon (Ashburn, VA (US)).",Application,"General
Why Verizon?
Walk me through your resume.
What can you tell me about Verizon?

STAR
Tell me about the best project you were ever a part of
Tell me a time when you were working on a project, and the business strategy changed, what was it, and how did you handle it?
Tell me a time when you had to use a programming language (in my case SQL, but whatever coding language you put on yourâ¦Â  resume is fair game), to achieve a project deliverable. What did you use, and what commands did you run?
Tell me about a time you had to work with multiple departments to accomplish a goal

Technical - Finance
What is cash basis of accounting?
What is accrual basis of accounting?
Which basis of accounting do publicly traded companies use and why?

(the above was asked of me, but it would be a good idea to know the following also - just in case... see below)

Walk me through the 3 financial statements
If you can only have 1 financial statement, which statement would you have and why?
Where does depreciation and amortization show up on the financial statements
What is working capital?
If my accounts receivable balance goes up year over year, is that a cash inflow or a cash outflow on the cash flow statement?
If my inventory balance goes up year over year, is that a cash inflow or a cash outflow on the cash flow statement?
If my account payables balance increases year over year, is that a cash inflow or a cash outflow on the cash flow statement?
What is cash conversion cycle?

Technical - Coding
What is object oriented programming?
What is a primary key (SQL)?
What is a foreign key?
Can a primary key be null?
Can a foreign key be null?
What SQL command do you use to return only different values? Â  Answer QuestionShow More"
19 Oct 2019,"Anonymous Interview Candidate in New York, NY (US)",Customer Service Specialist,No Offer,Neutral Experience,Difficult Interview,"I applied through a recruiter. The process took 4 days. I interviewed at Verizon (New York, NY (US)) in October 2019.",Application,"*Behavioral Questions.
*Role Playing, (This might be a little unexpected and could cause certain people to feel nervous if not prepared for such a powerful surprise) . Â  1 Answer"
28 Oct 2019,"Anonymous Interview Candidate in Basking Ridge, NJ (US)",Software Engineer(Internship),No Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in October 2019.",Application,Describe situation when you had to deal with sudden change (in project) Â  Answer Question
14 Nov 2019,"Anonymous Interview Candidate in Champaign, IL (US)",Software Engineer,No Offer,Positive Experience,Difficult Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Champaign, IL (US)) in October 2019.",Application,"1: linux
2: data pipeline
3: MapReduce Â  Answer Question"
21 Nov 2019,"Anonymous Interview Candidate in Atlanta, GA (US)",Software Engineer,No Offer,Neutral Experience,Easy Interview,"I applied through college or university. I interviewed at Verizon (Atlanta, GA (US)) in October 2019.",Application,How to insert something Â  1 Answer
25 Nov 2019,"Anonymous Interview Candidate in Cary, NC (US)",Network Engineering,No Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Cary, NC (US)) in October 2019.",Application,What are previous projects you've worked on? Â  Answer Question
22 Nov 2019,"Anonymous Employee in Dallas, TX (US)",VOIP Engineer,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Verizon (Dallas, TX (US)) in October 2019.",Application,Tell me a little about yourself Â  Answer Question
13 Jan 2020,Anonymous Interview Candidate,Finance Leadership Development Program,No Offer,Neutral Experience,Easy Interview,I applied online. I interviewed at Verizon in October 2019.,Application,Describe a time where you had to correct a mistake Â  Answer Question
29 Nov 2019,Anonymous Interview Candidate,Verizon Customer Experience,No Offer,Negative Experience,Difficult Interview,I applied online. The process took 3 days. I interviewed at Verizon in October 2019.,Application,Describe a time when you were able to leverage a new industry trend to complete a task. Â  Answer Question
23 Sep 2019,Anonymous Employee,Store Manager,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Verizon.,Application,How well you can deal with stressful environments. Â  1 Answer
23 Sep 2019,Anonymous Employee,Real Estate,Accepted Offer,Positive Experience,Average Interview,First received invite Video interview then a few months later received invite to superday. Superday had one interview and other time was spent touring/learning more about the role and company as a whole,Application,Tell me about yourself Â  Answer Question
16 Sep 2019,Anonymous Interview Candidate,Intern,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Why Verizon? Â  Answer Question
3 Oct 2019,"Anonymous Interview Candidate in San Francisco, CA (US)",Senior Software Engineer,No Offer,Neutral Experience,Difficult Interview,"I applied through a recruiter. The process took 4 days. I interviewed at Verizon (San Francisco, CA (US)) in September 2019.",Application,Longest Valid parantheses -Hard qustion from leet code. Â  1 Answer
21 Sep 2019,"Anonymous Interview Candidate in Tulsa, OK (US)",Senior Analyst Credit and Collections,No Offer,Negative Experience,Difficult Interview,"I applied through other source. The process took 3 weeks. I interviewed at Verizon (Tulsa, OK (US)) in September 2019.",Application,Where do you see yourself in 5 years? Â  1 Answer
11 Nov 2019,"Anonymous Employee in New York, NY (US)",Principal Solutions Consultant,Accepted Offer,Positive Experience,Average Interview,"I applied through other source. The process took 4 weeks. I interviewed at Verizon (New York, NY (US)) in September 2019.",Application,How can you help and enhancing digital transformation service offerings to our clients. Â  1 Answer
10 Aug 2019,"Anonymous Employee in New York, NY (US)",Customer Service Specialist,Accepted Offer,Positive Experience,Average Interview,"I applied through other source. The process took 4+ weeks. I interviewed at Verizon (New York, NY (US)).",Application,"tell me about a challenge or conflict you've faced at work, and how you dealt with it Â  Answer Question"
8 Aug 2019,"Anonymous Employee in Saint Louis, MO (US)",Communications Consultant,Accepted Offer,Positive Experience,Easy Interview,"I applied through other source. The process took 1 day. I interviewed at Verizon (Saint Louis, MO (US)).",Application,What was my previous work experience. Â  Answer Question
3 Aug 2019,"Anonymous Interview Candidate in New York, NY (US)",Sales Associate,No Offer,Negative Experience,Easy Interview,"The process took 6 days. I interviewed at Verizon (New York, NY (US)).",Application,tell me about yourself. Â  1 Answer
7 Sep 2019,"Anonymous Interview Candidate in Dallas, TX (US)",Business Consultant,No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Dallas, TX (US)) in August 2019.",Application,Why do you think you are a good fit of this position? Â  1 Answer
29 Aug 2019,"Anonymous Employee in New York, NY (US)",Data Analyst,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (New York, NY (US)) in August 2019.",Application,General Questions from your resume and some situation based q's.. STAR format Â  Answer Question
27 Sep 2019,"Anonymous Employee in Atlanta, GA (US)",Retail Sales Consultant,Accepted Offer,Neutral Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Atlanta, GA (US)) in August 2019.",Application,Are you willing to work weekends? Â  1 Answer
22 Sep 2019,"Anonymous Employee in Alpharetta, GA (US)",Full Stack Developer,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Alpharetta, GA (US)) in August 2019.",Application,What is a REST API? Are you familiar with Angular? Explain the MVC pattern? Â  Answer Question
29 Jul 2019,Anonymous Employee,Customer Service Associate,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,"Quick Learner

They will pick one of these questions. Tell me about a time when you were faced with an unfamiliar problem and you needed to quickly review sources of information to resolve it.
In this job, you will be expected to resolve a variety of customer issues, sometimes with limited instruction or guidance. Can you tell me about a time when this happened to you? Describe the methods that work bestâ¦Â  for you when learning something new from work. Can you provide a specific example of a time when these methods helped you learned new information? Tell me about a time when you were assigned a new responsibility at work that required you to learn a set of new skills or acquire knowledge about topics with which you were previously unfamiliar.
They will also pick one of these. Tell me about a time when there was a change to a policy or procedure that impacted your daily work activities. How did you handle it? How did you communicate the change to your customers? Updates to technology can often change familiar procedures or ways of doing things. Discuss a situation where a new technology changed the way things were typically done on the job. At times, customers may ask unexpected questions or make unusual requests that we havenât dealt with before. Tell me about a time when this happened to you. How did you react? Â  1 AnswerShow More"
26 Jul 2019,"Anonymous Interview Candidate in Los Angeles, CA (US)",Retail Sales Representative,No Offer,Positive Experience,Easy Interview,"The process took 2+ months. I interviewed at Verizon (Los Angeles, CA (US)).",Application,What are your strengths and weakenesses Â  1 Answer
24 Jul 2019,"Anonymous Employee in Laurel, MD (US)",Customer Service Representative,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 2+ months. I interviewed at Verizon (Laurel, MD (US)).",Application,Tell me how you work through a challenge Â  1 Answer
21 Jul 2019,Anonymous Employee,Product Manager,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Verizon.,Application,Resume questions Â  1 Answer
8 Jul 2019,"Anonymous Employee in Raleigh, NC (US)",Network Engineer,Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. I interviewed at Verizon (Raleigh, NC (US)).",Application,What kind of group projects/ work have you done ? Â  1 Answer
5 Jul 2019,Anonymous Employee,Product Manager,Accepted Offer,Positive Experience,Average Interview,The process took 3+ weeks. I interviewed at Verizon.,Application,Steps for launching a new product Â  Answer Question
14 Jul 2019,"Anonymous Employee in Rochester, NY (US)",Solutions Specialist,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at Verizon (Rochester, NY (US)) in July 2019.",Application,"Situational interview questions

""When was a time you went above and beyond for a customer?""

""What would you do if a customer..."" Â  Answer Question"
4 Sep 2019,"Anonymous Interview Candidate in Irving, TX (US)",Sr. Software Engineer,No Offer,Positive Experience,Difficult Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Irving, TX (US)) in July 2019.",Application,"Questions on Microservices, Spring Boot, Hibernate Â  Answer Question"
26 Jul 2019,"Anonymous Interview Candidate in Los Angeles, CA (US)",Solutions Specialist,No Offer,Negative Experience,Difficult Interview,"I applied online. The process took 2+ weeks. I interviewed at Verizon (Los Angeles, CA (US)) in July 2019.",Application,"What would you do if a customer declines or rejects a sale?
How would that keep you motivated? Â  1 Answer"
14 Jul 2019,"Anonymous Employee in Indianapolis, IN (US)",Project Manager,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Verizon (Indianapolis, IN (US)) in July 2019.",Application,My background and experience in this field Â  1 Answer
14 Aug 2019,"Anonymous Interview Candidate in Centerville, GA (US)",Retail Sales,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Verizon (Centerville, GA (US)) in July 2019.",Application,Is there a time when you achieved a sales goal? Â  1 Answer
18 Jul 2019,"Anonymous Interview Candidate in Ashburn, VA (US)",Operations Applications Engineer,Declined Offer,Negative Experience,Easy Interview,"I applied online. The process took 5 weeks. I interviewed at Verizon (Ashburn, VA (US)) in July 2019.",Application,They asked me all these tools I've never heard of with the exception of one: nagios. They asked me how to set up a key sign on. They asked me what security measures were included in SSL certs. They asked me SQL questions. Â  Answer Question
25 Jun 2019,Anonymous Employee,Business Transformation Manager,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 4+ weeks. I interviewed at Verizon.,Application,"Tell me about how you had to deal with a difficult situation/people? I see on your resume that you did ""xyz"", tell me more about it and what tools you used. Â  Answer Question"
4 Jun 2019,Anonymous Employee,Retail Sales Specialist,Accepted Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 4 days. I interviewed at Verizon in May 2019.,Application,What are your sale techniques Â  4 Answers
20 Jun 2019,"Anonymous Employee in Lake Mary, FL (US)",Accounting Analyst,Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 3+ months. I interviewed at Verizon (Lake Mary, FL (US)).",Application,Give me an example of when you demonstrated leadership skills Â  Answer Question
19 Jun 2019,Anonymous Interview Candidate,Retail Sales Representative,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Tell us about a time when you dealt with a difficult situation how did you deal with it and what was the outcome? Â  Answer Question
19 Jun 2019,"Anonymous Employee in Atlanta, GA (US)",Solution's Specialist,Accepted Offer,Negative Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Atlanta, GA (US)).",Application,If you had to choose between you making quota another coworker. Who are you more concerned about? Â  Answer Question
10 Jun 2019,"Anonymous Employee in Elgin, SC (US)",Customer Service Specialist,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Verizon (Elgin, SC (US)).",Application,Tell me about a time where you had to deal with a difficult situation at work. What was the situation ? How did you handle it? What was the outcome? Â  Answer Question
7 Jun 2019,Anonymous Employee,Sales Representative,Accepted Offer,Positive Experience,,Great interview. Was straight forward and I got a chance to ask questions. Very smooth. I enjoyed the interview and glad I took part. Was happy throughout and would recommend to anyone!,Application,What is your prior work experience? Â  Answer Question
27 Feb 2020,Anonymous Employee,Software Engineer,Accepted Offer,Positive Experience,Easy Interview,I applied through a recruiter. The process took 1 day. I interviewed at Verizon in June 2019.,Application,what is DOM Â  Answer Question
4 Dec 2019,"Anonymous Employee in Basking Ridge, NJ (US)",Business Intelligence Manager,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Verizon (Basking Ridge, NJ (US)) in June 2019.",Application,"1. Resume review
2. Nothing tricky, basic why do you like this type work? How are you working with chaos/change
3. Insight test Â  1 Answer"
21 May 2019,Anonymous Interview Candidate,Senior Finance Manager,No Offer,Negative Experience,Easy Interview,I applied online. The process took a week. I interviewed at Verizon.,Application,What type of sales commissions have you developed previously? Â  Answer Question
13 May 2019,Anonymous Employee,Business Account Manager,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Verizon.,Application,Why do you think your a good fit? Â  Answer Question
2 May 2019,Anonymous Employee,Solutions Specialist,Accepted Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,Why should we hire you Â  Answer Question
1 May 2019,Anonymous Interview Candidate,HR Business Partner,No Offer,Negative Experience,,I applied online. I interviewed at Verizon.,Application,
29 Jun 2019,"Anonymous Interview Candidate in Temple Terrace, FL (US)",Junior Software Engineer,No Offer,Negative Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Verizon (Temple Terrace, FL (US)) in May 2019.",Application,What are some of the differences between a SQL and NOSQL database? Â  Answer Question
6 Jun 2019,Anonymous Interview Candidate,Business Account Specialist,No Offer,Positive Experience,Difficult Interview,I applied online. The process took 3+ weeks. I interviewed at Verizon in May 2019.,Application,Why do you want to work with government accounts? Â  Answer Question
13 May 2019,"Anonymous Interview Candidate in Irving, TX (US)",Senior Analyst - Workforce Planning and Analysis,No Offer,Negative Experience,Difficult Interview,"I applied online. I interviewed at Verizon (Irving, TX (US)) in May 2019.",Application,"Interview questions were not clearly stated by the recruiter, he did not know enough about the position he was screening for. He then claim he could not hear on the call, ask if he could hang up and call back. He did and stated he still couldnt hear, he stated he heard the first minutes of the interview but he couldnt hear after that. He then ended the interview. Â â¦Â  Answer QuestionShow More"
28 Apr 2019,Anonymous Employee,CSSR,Accepted Offer,Positive Experience,,"So I had a brief screening with an HR rep over the phone. Then I sat with two supervisors for the interview. Then, I was asked a series of questions, and asked to do two role play questions. Fairly normal interview for customer service",Application,How would you sell this to the customer? Â  Answer Question
22 Apr 2019,Anonymous Employee,Cloud Architect,Accepted Offer,Positive Experience,Average Interview,I applied through a staffing agency. I interviewed at Verizon.,Application,"General questions about AWS services, CLI, DevOps.
How do you migrate an application to the cloud? Â  Answer Question"
19 Apr 2019,Anonymous Employee,Devops Engineer,Accepted Offer,Positive Experience,Average Interview,I applied through a staffing agency. The process took 2 weeks. I interviewed at Verizon.,Application,What was your previous project Â  Answer Question
17 Apr 2019,Anonymous Interview Candidate,Regulatory Counsel,No Offer,Neutral Experience,Average Interview,I applied through an employee referral. I interviewed at Verizon.,Application,Name a time you were pushing for something and everyone else disagreed. How did you change their minds? Â  Answer Question
8 Apr 2019,Anonymous Employee,Head - IoT,Accepted Offer,Positive Experience,Average Interview,I applied through a staffing agency. I interviewed at Verizon.,Application,What is it your experience and business acumen with XXX vertical industry? Â  1 Answer
10 Apr 2019,Anonymous Interview Candidate,Java Developer,No Offer,Negative Experience,,"Horrible Experience:

I was reached out by recruiter from verizon

I was told manager will reach to you soon for in person interview.
Manager did reply me for in person interview at mid of night for next day interview.

Once reached out to recruiter seems to be it is normal for them to send email or work late hours till mid night and its normal to schedule in person interview within 10 hours. If you end up being in such team , it is going to be pain
This speaks a lot about manager and HRs
For them it is normal to work till midnight or receive email for trivial matter at mid of night and act in few hours

Usually noone sends mail at mid night if there is no production bug this speaks a lot of chaotic management of verizon",Application,technology worked on Â  Answer Question
8 Apr 2019,Anonymous Employee,PMTS,Accepted Offer,Positive Experience,Difficult Interview,Submitted application; HR will set up Phone Interview and this is followed by In-person interview at various levels - team/Manager and Director. In person interview started out by welcoming me and making me feel at ease and then each person asked questions to assess my technical capability and also check my suitability for the team culture by making sure i had the right attitude.,Application,Technical questions and Situational questions Â  Answer Question
2 Apr 2019,Anonymous Interview Candidate,Software Engineer(Internship),No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Verizon.,Application,What do you do to stay up to date on the latest tech news? Â  Answer Question
17 May 2019,"Anonymous Employee in Livingston, NJ (US)",Senior Technician,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Verizon (Livingston, NJ (US)) in April 2019.",Application,Past experiences. Â  Answer Question
8 Apr 2019,Anonymous Interview Candidate,Embedded Software Engineer,No Offer,Positive Experience,Average Interview,I applied through college or university. The process took 1 day. I interviewed at Verizon in April 2019.,Application,Why did you apply to this position? Â  Answer Question
4 May 2019,"Anonymous Employee in Lake Mary, FL (US)",Senior Financial Analyst,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Verizon (Lake Mary, FL (US)) in April 2019.",Application,Tell me about yourself Â  Answer Question
