Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Qs
11-Mar-20,Anonymous Employee,Technology Development Program Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 5 weeks. I interviewed at AT&T in February 2020.,Interview,What is a stack and what is a queue? Â  Answer Question
24-Jan-20,Anonymous Employee,B2B Sales Program Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at AT&T.,Interview,What interests you in sales? Â  Answer Question
16-Jan-20,"Anonymous Interview Candidate in Conyers, GA",Sales Associate Interview,Declined Offer,Neutral Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Conyers, GA).",Application,What attracted you to this company? Â  Answer Question
4-Jan-20,Anonymous Employee,Customer Service Representative Interview,Accepted Offer,Neutral Experience,Average Interview,Long and drawn out. Got one interview in July next one in August it was just too much honestly. Obladee oblada life goes onnn by. La la la la life goes on.,Application,Not sure. Just wanted to read more reviews for another job and they made me fill this out. Thatâs all o have to say. Blah blah blah blah blah blah blah Â  Answer Question
6-Jan-20,"Anonymous Interview Candidate in Chicago, IL",Communications Interview,No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at AT&T (Chicago, IL) in January 2020.",Application,Tell a little about yourself Â  1 Answer
25-Feb-20,"Anonymous Interview Candidate in Charleston, SC",Technician Interview,No Offer,Negative Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Charleston, SC) in January 2020.",Application,If I was concerned about safety Â  1 Answer
4-Mar-20,"Anonymous Employee in Santa Clara, CA",Customer Service Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2+ months. I interviewed at AT&T (Santa Clara, CA) in January 2020.",Application,
31-Jan-20,"Anonymous Employee in Miami, FL",Bilingual Customer Service Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 1+ week. I interviewed at AT&T (Miami, FL) in January 2020.",Application,"Tell me of a time leadership tasked you to complete an assignment, how you managed, and the outcome? Â  Answer Question"
20-Mar-20,"Anonymous Employee in San Francisco, CA",Logistics Manager Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at AT&T (San Francisco, CA) in January 2020.",Application,What was an accomplishment that you are especially proud of having completed? Â  1 Answer
18-Feb-20,Anonymous Employee,Gen Tech Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at AT&T in January 2020.,Application,Basic questions about my resume Â  1 Answer
14-Dec-19,"Anonymous Employee in El Segundo, CA",Senior Product Marketing Manager Interview,Accepted Offer,Neutral Experience,Average Interview,"I applied in-person. The process took 2 days. I interviewed at AT&T (El Segundo, CA).",Application,"We are extremely hard workers, we work around the clock to support clients, including PTO. Would you be able to work those hours? (Not all groups work this way) Â  Answer Question"
7-Dec-19,Anonymous Interview Candidate,Manager Interview,No Offer,Negative Experience,Average Interview,I applied in-person. I interviewed at AT&T.,Application,Tell me a time you had an irate customer and how you resolved it? Â  Answer Question
7-Jan-20,Anonymous Interview Candidate,Retail Sales Consultant Interview,No Offer,Negative Experience,Easy Interview,I applied online. The process took 3 weeks. I interviewed at AT&T in December 2019.,Application,"tell me about a time you had to go above and beyond, for a customer, what was the situation, and what was the outcome Â  Answer Question"
16-Dec-19,"Anonymous Employee in New York, NY",B2B Sales Consultant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at AT&T (New York, NY) in December 2019.",Application,Tell a time when you failed Â  Answer Question
11-Jan-20,"Anonymous Interview Candidate in Austin, TX",GeneralProgram Interview,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at AT&T (Austin, TX) in December 2019.",Application,What unique skills and attributes do you have that others around you may not have that will help AT&T reach its goals? Â  Answer Question
13-Nov-19,Anonymous Interview Candidate,Intern Interview,Declined Offer,Neutral Experience,Average Interview,"Had an easy behavioral, a coding test, and onsite interview. Overall pretty fine. Asked basic questions about my resume and different challenges and projects. Nice people. The technical part was 3 questions that were of easy to medium difficulty.",Application,Where do you see yourself in 3 years? Â  Answer Question
13-Nov-19,Anonymous Interview Candidate,Senior Project Manager Interview,No Offer,Negative Experience,Difficult Interview,I applied online. The process took 3 weeks. I interviewed at AT&T in November 2019.,Application,"The questions related to Project Management and Six Sigma.

How does one tell whether a project is Green Belt or Black Belt? Â  1 Answer"
4-Nov-19,Anonymous Employee,Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at AT&T in November 2019.,Application,How would you handle an unhappy customer. Â  Answer Question
19-Nov-19,"Anonymous Employee in Houston, TX",Customer Service Representative I Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 1+ week. I interviewed at AT&T (Houston, TX) in November 2019.",Application,Tell me about a time you had to deal with an angry customer Â  Answer Question
30-Oct-19,Anonymous Employee,Systems Technician Interview,Accepted Offer,Neutral Experience,Difficult Interview,I applied in-person. The process took 4+ weeks. I interviewed at AT&T.,Application,"If you live in Beaumont, why do you want to work in Houston? Â  1 Answer"
22-Oct-19,Anonymous Interview Candidate,Technology Development Program Interview,No Offer,Neutral Experience,Easy Interview,I only got to the phone screening portion of the interview. I was asked 4 behavioral questions. Knowing a lot of anecdotes can help. They reached back after about a week after the phone screening. The phone screening overall should not be difficult.,Application,Describe a time when you were misunderstood by somebody and how you resolved the issue. Â  Answer Question
24-Oct-19,Anonymous Employee,Senior Product Manager Interview,Accepted Offer,Positive Experience,Average Interview,Initial round with phone screening and second rounds with questions like describe a regular day on the job and some behavioral questions like describe a time where you had conflict to handle and describe a time when you had to convince the team,Application,Describe a situation when you handled difficult situation Â  Answer Question
14-Oct-19,Anonymous Interview Candidate,Technology Development Program Interview,No Offer,Neutral Experience,Average Interview,The process took 3+ months. I interviewed at AT&T.,Application,Leetcode Easy Java questions(i.e. square numbers) Â  Answer Question
17-Oct-19,Anonymous Interview Candidate,Intern Interview,No Offer,Neutral Experience,Average Interview,the interview was on the phone. i reached out to them after a career fair. it was an average experience. the interviewer referred me to another group at AT&T. I,Application,what classes are you planning to take Â  Answer Question
14-Oct-19,Anonymous Interview Candidate,Software Engineer Interview,No Offer,Positive Experience,,I applied through college or university. I interviewed at AT&T.,Application,Basic algorithms question Â  Answer Question
13-Oct-19,Anonymous Interview Candidate,Software Engineer(Internship) Interview,No Offer,Positive Experience,Easy Interview,Was a series of phone calls. The HR rep called first responding to the job app. Then talked to who would be my supervisor. Was asked questions regarding my resume and my project and job experience. Very chill,Application,Basic resume style questions Â  Answer Question
6-Oct-19,Anonymous Interview Candidate,Associate Interview,Declined Offer,Positive Experience,Average Interview,I applied online. The process took 3 weeks. I interviewed at AT&T.,Application,"Basic Q's on the firm, culture, strategy, etc. Â  Answer Question"
4-Nov-19,"Anonymous Interview Candidate in Dallas, TX",Project Manager Interview,No Offer,Negative Experience,Average Interview,"I applied through a staffing agency. The process took 2 weeks. I interviewed at AT&T (Dallas, TX) in October 2019.",Application,Tell me about yourself. Â  Answer Question
3-Oct-19,"Anonymous Employee in Atlanta, GA",Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 3 weeks. I interviewed at AT&T (Atlanta, GA) in October 2019.",Application,How do you keep positive morale in the store Â  Answer Question
4-Feb-20,"Anonymous Employee in Austin, TX",Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Austin, TX) in October 2019.",Application,Tell me a scenario where you had to deal with unhappy customer Â  Answer Question
22-Oct-19,"Anonymous Interview Candidate in Beavercreek, OH",Retail Sales Consultant Interview,Declined Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Beavercreek, OH) in October 2019.",Application,What drives you? Â  1 Answer
25-Oct-19,"Anonymous Employee in Fort Lauderdale, FL",Call Center Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 4 weeks. I interviewed at AT&T (Fort Lauderdale, FL) in October 2019.",Application,Why do you want this job Â  Answer Question
31-Dec-19,"Anonymous Interview Candidate in Atlanta, GA",Customer Service Representative Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at AT&T (Atlanta, GA) in October 2019.",Application,I was asked about a time when I had to keep a hostile customer or client calm what did I do Â  1 Answer
5-Feb-20,Anonymous Interview Candidate,B2B Sales Interview,Declined Offer,Negative Experience,Easy Interview,I applied through college or university. The process took 4 weeks. I interviewed at AT&T in October 2019.,Application,Role play Â  1 Answer
17-Oct-19,"Anonymous Interview Candidate in Dallas, TX",B2B Sales Representative Interview,No Offer,Negative Experience,Easy Interview,"I applied through a recruiter. The process took 3 weeks. I interviewed at AT&T (Dallas, TX) in October 2019.",Application,What is your biggest accomplishment on your resume? Â  Answer Question
29-Oct-19,Anonymous Employee,Technology Development Program Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 6 weeks. I interviewed at AT&T in October 2019.,Application,write code to determine if a number is prime Â  Answer Question
1-Nov-19,Anonymous Employee,B2B Sales Development Program Interview,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 3 weeks. I interviewed at AT&T in October 2019.,Application,What makes you stand out against your competition? Â  Answer Question
26-Sep-19,Anonymous Employee,Technology Development Program Interview,Accepted Offer,Positive Experience,Average Interview,I applied for the Technology Development Program internship. I had an initial phone interview then an online coding challenge and then had a final round phone interview with the location that I wanted to work for.,Application,Figure out if the given string is a palindrome or not. Â  Answer Question
16-Sep-19,"Anonymous Employee in El Segundo, CA",QA Tester Interview,Accepted Offer,Positive Experience,Easy Interview,"The process took 2 weeks. I interviewed at AT&T (El Segundo, CA).",Application,How to write a bug? Â  Answer Question
14-Sep-19,Anonymous Interview Candidate,Retail Sales Consultant Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 1 day. I interviewed at AT&T.,Application,What location are you interested in working at? Â  Answer Question
11-Sep-19,Anonymous Employee,Internship Interview,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. The process took 1 day. I interviewed at AT&T.,Application,About yourself and then any new technology you are interested in Â  Answer Question
9-Sep-19,Anonymous Employee,Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Easy Interview,"The overall process can be lengthy, but it's standard phone interview then in person interview. After the interview process, there's background check and drug test. Interview questions are pretty standard. Most focus on competitiveness.",Application,Tell me about a time you had to compete for... Â  Answer Question
5-Sep-19,Anonymous Employee,Customer Care Associate Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at AT&T.,Application,If a customer calls in & they're irate. How would you handle the call? Â  Answer Question
5-Sep-19,Anonymous Employee,Sales Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"The process took about 3 weeks. Starting with the actual application, test and interview. Att is very detailed and willing to work with you and any situation. I love this company and have been with them for years. Iâm sure you will also",Application,Sale me this soda Â  Answer Question
13-Sep-19,"Anonymous Employee in Baton Rouge, LA",Sales Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took a week. I interviewed at AT&T (Baton Rouge, LA) in September 2019.",Application,When was a time you resolved a conflict and what was the outcome. Â  1 Answer
14-Sep-19,"Anonymous Interview Candidate in Houston, TX",Retail Sales Associate Interview,Declined Offer,Negative Experience,Average Interview,"I applied through an employee referral. The process took 3 weeks. I interviewed at AT&T (Houston, TX) in September 2019.",Application,Why you? Â  Answer Question
24-Sep-19,"Anonymous Employee in Los Angeles, CA",Retail Sales Associate Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Los Angeles, CA) in September 2019.",Application,"What retail experience do I have?
What was the hardest experience I overcame at work?
Am I able to work a part time schedule?
Why AT&T? Â  Answer Question"
17-Mar-20,"Anonymous Interview Candidate in Los Angeles, CA",Software Interview,Declined Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 3 weeks. I interviewed at AT&T (Los Angeles, CA) in September 2019.",Application,"dp, tree, hash Â  Answer Question"
7-Feb-20,"Anonymous Interview Candidate in Dublin, CA",Sales Manager Interview,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Dublin, CA) in September 2019.",Application,Sell this pen to me Â  Answer Question
5-Feb-20,"Anonymous Interview Candidate in Forked River, NJ",Sales Associate Interview,Declined Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 3 days. I interviewed at AT&T (Forked River, NJ) in September 2019.",Application,How would you sell a toaster. Â  1 Answer
21-Oct-19,"Anonymous Employee in Houston, TX",Customer Service Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took a week. I interviewed at AT&T (Houston, TX) in September 2019.",Application,What will make you a good addition to the team? Â  Answer Question
1-Mar-20,"Anonymous Interview Candidate in Atlanta, GA",Technology Development Program Interview,No Offer,Neutral Experience,Easy Interview,"I applied through an employee referral. The process took 3 weeks. I interviewed at AT&T (Atlanta, GA) in September 2019.",Application,Tell me about a time you had a misunderstanding with a boss/professor and y Â  Answer Question
19-Dec-19,"Anonymous Employee in Philadelphia, PA",Network Technical Specialist Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 5 weeks. I interviewed at AT&T (Philadelphia, PA) in September 2019.",Application,What is that building over there? Â  1 Answer
30-Aug-19,Anonymous Interview Candidate,Retail Sales Consultant Interview,No Offer,Negative Experience,Average Interview,I applied online. I interviewed at AT&T.,Application,Are you comfortable with cold calling? Â  1 Answer
29-Aug-19,Anonymous Employee,Sales Interview,Accepted Offer,Negative Experience,,"not bad but quick, they had only one interview session but seemed like they made their choice, it was all commission though and long hours of walk and going into poeple's houses which was not safe,",Application,would you do good alone door to door Â  Answer Question
29-Aug-19,Anonymous Interview Candidate,Technology Development Interview,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at AT&T.,Application,Describe a time when someone didnât understand or agree with your opinion how did you handle it? Â  Answer Question
28-Aug-19,"Anonymous Employee in Los Angeles, CA",Clerk Interview,Accepted Offer,Positive Experience,,"I applied through an employee referral. I interviewed at AT&T (Los Angeles, CA).",Interview,Why should we hire you Â  Answer Question
27-Aug-19,Anonymous Employee,Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Average Interview,"You now have to take a video interview before the in person interview. They ask why this company? What would you do in certain situations, ETC. If you do well, they conduct an in person interview afterwards.",Interview,"A customer is waiting on the queue and he/she is angry because the wait is long, you are currently helping a customer out and you're heading to the back for inventory. What do you do to ease the customer? Â  Answer Question"
9-Aug-19,Anonymous Interview Candidate,Engineering Interview,No Offer,Positive Experience,,"Interview was fairly basic as the first step is usually a weed-out process. Nonetheless, the recruiter was friendly and open and told me what skills I should improve on.",Interview,Q: what experience have you add in the electronics sector? Â  Answer Question
12-Aug-19,"Anonymous Interview Candidate in Sunrise, FL",ATT Customer Service Representative Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Sunrise, FL) in August 2019.",Interview,Tell us a time you missed a detail & explain how it was corrected? Â  Answer Question
2-Aug-19,"Anonymous Interview Candidate in Medina, OH",Retail Sales Associate Interview,No Offer,Negative Experience,Difficult Interview,"I applied through an employee referral. The process took 12+ months. I interviewed at AT&T (Medina, OH).",Interview,
11-Dec-19,"Anonymous Employee in Monroeville, PA",Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 5 days. I interviewed at AT&T (Monroeville, PA) in August 2019.",Interview,How would you maintain and achieve sales goals? Â  1 Answer
23-Oct-19,"Anonymous Interview Candidate in Indianapolis, IN",In Home Specialist Interview,Declined Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 5 days. I interviewed at AT&T (Indianapolis, IN) in August 2019.",Interview,What skills do you bring to the table when trying to close a sale? Â  Answer Question
29-Jul-19,"Anonymous Employee in Hilo, HI",Sales Support Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took a week. I interviewed at AT&T (Hilo, HI).",Interview,Why do you think you can bring to the table at work Â  2 Answers
24-Jul-19,"Anonymous Employee in Vienna, VA",Senior Proposal Manager Interview,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. I interviewed at AT&T (Vienna, VA).",Interview,Describe issues I have overcome in the proposal process. You must KNOW the proposal process. Â  2 Answers
22-Jul-19,Anonymous Interview Candidate,Network Design Engineer Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at AT&T.,Application,What network systems have you worked with Â  1 Answer
17-Jul-19,Anonymous Employee,Sales Support Representative Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 4+ weeks. I interviewed at AT&T.,Application,why you want work for at&t Â  Answer Question
13-Jul-19,Anonymous Interview Candidate,CSR Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at AT&T.,Application,How to deal with an irate customer that wants to stop service. Â  Answer Question
11-Jul-19,Anonymous Employee,U-Verse Premises Technician Interview,Accepted Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at AT&T.,Application,How would you deal with an upset customer? Â  Answer Question
11-Jul-19,Anonymous Interview Candidate,Project Manager Interview,Declined Offer,Neutral Experience,Average Interview,The interview was a basic interview. They asked typical questions and wanted to know what you are looking for in the company and job. Nothing hard was asked - however as this was the first interview - I'm sure it gets harder down the line.,Application,What are your goals? Â  1 Answer
9-Jul-19,Anonymous Interview Candidate,Software Engineer(Internship) Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 5 days. I interviewed at AT&T.,Application,List all possible ways you could use a paper clip. Â  Answer Question
13-Aug-19,"Anonymous Interview Candidate in Roseville, CA",Retail Sales Consultant Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Roseville, CA) in July 2019.",Application,How would you deal with a difficult customer asking you to break the policy? Â  Answer Question
2-Jul-19,"Anonymous Interview Candidate in Valdosta, GA",Sales Associate Interview,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took a week. I interviewed at AT&T (Valdosta, GA).",Application,how are you Â  1 Answer
3-Aug-19,"Anonymous Interview Candidate in Jonesboro, AR",Sales Associate Interview,No Offer,Negative Experience,Difficult Interview,"I applied online. The process took 1 day. I interviewed at AT&T (Jonesboro, AR) in July 2019.",Application,Crazy scenarios like what you would you do if a coworker stole $10. Â  2 Answers
30-Jul-19,"Anonymous Employee in Sunrise, FL",CSR Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at AT&T (Sunrise, FL) in July 2019.",Application,Role play Â  1 Answer
1-Nov-19,"Anonymous Interview Candidate in Chicago, IL",Account Manager Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 5 days. I interviewed at AT&T (Chicago, IL) in July 2019.",Application,How long have you been in the industry? Â  Answer Question
26-Jun-19,Anonymous Employee,Student Intern - Technical I Interview,Accepted Offer,Positive Experience,Average Interview,Typical behavioral interview with a couple of light technical questions sprinkled in. One round in person on campus. Internships for Summer tend to fill up by Jan with interviews in Dec and start in early June.,Application,Where do you see yourself in 5 years? Â  Answer Question
16-May-19,Anonymous Employee,Agent Interview,Accepted Offer,Negative Experience,Easy Interview,Very informal and over the phone. Hires just ab ou ut any applicant and doesnt care. The people i terviewing do not tell you alot about the job. Managment would prefer to sweep you under the carpet then actually help you grow,Application,How will you handle an upset customer Â  4 Answers
16-Jun-19,Anonymous Employee,Sales Consultant Interview,Accepted Offer,Positive Experience,,I applied online. The process took 4+ weeks. I interviewed at AT&T.,Application,What was my selling style Â  1 Answer
6-Jun-19,Anonymous Employee,Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Easy Interview,"Hirevue for first round followed by callback to schedule in person. Interviewed by multiple managers, given offer by phone call later in the week with specifics. Was told I would receive offer in the interview",Application,Describe your previous sales experience? Â  Answer Question
6-Jun-19,Anonymous Interview Candidate,Software Engineer Interview,No Offer,Negative Experience,Average Interview,"The interview process was disorganized and I was handed off through multiple offices where no one knew the answers to questions I had. These were questions like: what is the job description? How large are the teams? Etc. basically just questions that would help me gauge how interested I was in continuing the job process with them, yet no one could answer them.",Application,"Replace Duplicates in a List
Easy Data Structures and Algorithms Questions
General Questions on Databases Â  Answer Question"
3-Jun-19,Anonymous Employee,Systems Test Engineer Interview,Accepted Offer,Positive Experience,,"The interview process was smooth. Nothing heavy, It was a good experience over all.I think taking scripting or python preparation would be helpful. Also previous experience questions and answers. Research abou the team and organization you are interviewing with.",Application,Tell me something about your last job position? What was your responsibilities? Your experience with python/ scripting Â  Answer Question
24-Jun-19,"Anonymous Employee in Merritt, MO",Sales Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took a week. I interviewed at AT&T (Merritt, MO) in June 2019.",Application,Describe a time you were asked to do something that wasn't right what were your actions and the outcome of the situation. Â  1 Answer
28-May-19,"Anonymous Employee in Nashville, TN",Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied through an employee referral. The process took 2 weeks. I interviewed at AT&T (Nashville, TN).",Application,"Future goals, how you handle conflict, your overall drive. Â  Answer Question"
24-May-19,"Anonymous Interview Candidate in Wyoming, MI",Retail Sales Associate Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 2+ months. I interviewed at AT&T (Wyoming, MI) in May 2019.",Application,Can you come in to meet with me? Â  1 Answer
10-May-19,"Anonymous Interview Candidate in Kansas City, MO",Sales Associate Interview,Declined Offer,Negative Experience,Difficult Interview,"I applied online. The process took 5 weeks. I interviewed at AT&T (Kansas City, MO) in May 2019.",Application,Are you married? Â  Answer Question
6-Jun-19,"Anonymous Interview Candidate in Bloomington, MN",Collections Representative Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took a week. I interviewed at AT&T (Bloomington, MN) in May 2019.",Application,Name a time you had to resolve a difficult situation with a previous employer. Â  Answer Question
1-May-19,"Anonymous Employee in San Diego, CA",Retail Sales Consultant Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 5 days. I interviewed at AT&T (San Diego, CA) in May 2019.",Application,Describe your experience related to the job and difficult situations with customers that you've been able to turn around into a sale or positive interaction. Â  Answer Question
3-Jun-19,"Anonymous Interview Candidate in New York, NY",VP Interview,No Offer,Neutral Experience,Easy Interview,"I applied online. The process took 2 days. I interviewed at AT&T (New York, NY) in May 2019.",Application,where do you live Â  1 Answer
7-May-19,"Anonymous Interview Candidate in Apple Valley, CA",In-Home Sales Expert Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 2 days. I interviewed at AT&T (Apple Valley, CA) in May 2019.",Application,What are your strengths? Â  Answer Question
6-Dec-19,"Anonymous Employee in Dallas, TX",B2B Sales Consultant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3+ months. I interviewed at AT&T (Dallas, TX) in May 2019.",Application,Had to learn company products and sell them in a role play. Â  1 Answer
24-Apr-19,"Anonymous Employee in Atlanta, GA",Java Developer Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. I interviewed at AT&T (Atlanta, GA).",Application,Uses of Spring Boot Â  Answer Question
22-Apr-19,Anonymous Employee,Sales Associate Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at AT&T.,Application,they asked me about my experience at my previous employer. Â  1 Answer
22-Apr-19,"Anonymous Employee in Dallas, TX",B2B Sales Representative Interview,Accepted Offer,Neutral Experience,Difficult Interview,"I applied online. I interviewed at AT&T (Dallas, TX).",Application,Had to pitch a sale to a company who already had products they approved of Â  Answer Question
19-Apr-19,Anonymous Employee,Workforce Manager Interview,Accepted Offer,Positive Experience,Average Interview,Attended a open house. Interviewed with two managers for first interview. Received a call for second interview very quickly. Then interviewed with the my actually manager. I received a call for a job offer very quickly. The whole interview process took about three weeks.,Application,"Describe your previous work experience.
What is your highest level of education?
What are your qualification for this position? Â  Answer Question"
17-Apr-19,Anonymous Employee,AT&T Wire Technician Interview,Accepted Offer,Negative Experience,Easy Interview,I applied online. The process took a week. I interviewed at AT&T.,Application,Describe a time where you had to create a plan to fix something. Â  1 Answer
