Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Qs
"Apr 1, 2020","Anonymous Interview Candidate in New York, NY",Staff Pharmacist Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 1+ week. I interviewed at CVS Health (New York, NY) in March 2020.",Application,Tell us about yourself Â  1 Answer
"Mar 16, 2020",Anonymous Employee,Front Desk Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 4+ weeks. I interviewed at CVS Health in March 2020.,Application,Customer service experience Â  Answer Question
"Apr 3, 2020","Anonymous Interview Candidate in Chicago, IL",Health Care Business Partner Interview,Declined Offer,Negative Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at CVS Health (Chicago, IL) in March 2020.",Application,Describe a recent professional accomplishment of which you're proud. Â  Answer Question
"Feb 27, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at CVS Health.,Application,What is your greatest achievement? Â  Answer Question
"Feb 22, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,,I applied in-person. I interviewed at CVS Health.,Application,Why pharmacy? Â  Answer Question
"Feb 5, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Neutral Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at CVS Health.,Application,What is you greatest strength? Â  Answer Question
"Feb 5, 2020",Anonymous Interview Candidate,User Experience Designer Interview,No Offer,Negative Experience,Average Interview,I applied online. The process took 4+ weeks. I interviewed at CVS Health.,Application,Typical screening questions Â  Answer Question
"Feb 26, 2020","Anonymous Interview Candidate in Boston, MA",Software Engineer() Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at CVS Health (Boston, MA) in February 2020.",Application,Tell me about your background Â  Answer Question
"Feb 3, 2020",Anonymous Employee,Sales Associate/Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,Very easy process. Went in for a quick interview with straight forward questions. Manager of the store was knowledgeable and professional but not overpowering or condescending. Reviewed my resume in person with the manager and assistant manager and answered questions as they arose. General problem solving and situational questions were the majority of the questions.,Application,What are your expectations working here? Â  Answer Question
"Mar 16, 2020","Anonymous Interview Candidate in Franklin, TN",Instructional Designer Interview,No Offer,Negative Experience,Average Interview,"I applied in-person. I interviewed at CVS Health (Franklin, TN) in February 2020.",Application,"If you were a spirit animal, what would you be? If zombies were chasing you, what would you do? What is your favorite movie of all time? Â  Answer Question"
"Mar 2, 2020","Anonymous Employee in Scottsdale, AZ",Credit Analyst Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at CVS Health (Scottsdale, AZ) in February 2020.",Application,Describe a time where you encountered a difficult situation at work but upper management was not available to assist you and how did you resolve that situation? Â  1 Answer
"Feb 27, 2020","Anonymous Interview Candidate in Miami, FL",Graduate Development Program Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at CVS Health (Miami, FL) in February 2020.",Application,Tell me about a time you had to manage a shift in priorities. Â  Answer Question
"Jan 30, 2020",Anonymous Employee,Retail Sales Associate Interview,Accepted Offer,Positive Experience,Easy Interview,First the manager called me over the phone and then told me to come into the store. We talked in the office for about 15 minutes. She asked about my school and my availability to work and then told me I was hired and when Iâll start working.,Application,What school do you attend Â  Answer Question
"Jan 28, 2020","Anonymous Employee in Chicago, IL",Account Executive Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 2+ months. I interviewed at CVS Health (Chicago, IL).",Application,How will you handle tough customers? Â  Answer Question
"Jan 22, 2020",Anonymous Employee,Staff Pharmacist Interview,Accepted Offer,Neutral Experience,Average Interview,I applied through an employee referral. I interviewed at CVS Health.,Application,Why CVS? Â  Answer Question
"Jan 13, 2020",Anonymous Employee,Pharmacist Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,Why CVS? Â  Answer Question
"Jan 14, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,What were my goals with the company Â  Answer Question
"Jan 13, 2020",Anonymous Interview Candidate,Researcher Interview,No Offer,Negative Experience,,"The contract recruiter set up time with me and did not show up for the meeting. I then contacted him and he asked me to provide times for the next week. When I was about to provide times, I got an automated rejection letter for the role. No explanation from the recruiter. Finally, I emailed him to ask what happened and he said they hired another candidate. This whole process seemed very shady and unprofessional. Very damaging to CVS reputation. I guess I wont bother to apply to this company for any future openings.",Application,No questions- Recruiter missed the meeting. I had to email to find out why. Â  Answer Question
"Jan 6, 2020",Anonymous Employee,Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,It was 15 minutes and simple. The hiring manager asked basic questions about experience and transportation. They take you through like an seven or eight hour training process and then you start working. Its a simple process that matches the easy job.,Application,Can you work weekends and flexible hours. Â  Answer Question
"Jan 6, 2020",Anonymous Employee,Store Manager Interview,Accepted Offer,Neutral Experience,Easy Interview,I applied in-person. I interviewed at CVS Health.,Application,Usual STAR method Â  Answer Question
"Jan 3, 2020",Anonymous Interview Candidate,Operationa Manager Interview,No Offer,Negative Experience,Difficult Interview,I spend roughly an hour on the application process (20 minutes on the application/30+ minutes on the assessment) just for them to close the job on me and not be able to complete the process. The response I got from email after opening a ticket was very generic and left me wishing I hadn't bothered to apply in the first place. Waste of my time.,Application,"They asked for work experience twice during the application process, they do not have an ATS that pulls information from your resume to auto-fill or partial fill the long, over drawn out process. Â  1 Answer"
"Jan 3, 2020","Anonymous Interview Candidate in New York, NY",Pharmacy Technician Interview,No Offer,Neutral Experience,Average Interview,"I applied through other source. The process took 5 days. I interviewed at CVS Health (New York, NY).",Application,Do you have any experience in a pharmacy ? Â  Answer Question
"Jan 3, 2020",Anonymous Employee,Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at CVS Health.,Application,What is your availability like? Â  1 Answer
"Jan 3, 2020",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Negative Experience,Easy Interview,I applied online. The process took 3+ months. I interviewed at CVS Health.,Application,"Why do you want to be a tech
Name an experience when you were challenged in the workplace Â  Answer Question"
"Jan 23, 2020","Anonymous Interview Candidate in Lexington, SC",Staff Pharmacist Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at CVS Health (Lexington, SC) in January 2020.",Application,What are your goals as a new pharmacist? Â  Answer Question
"Mar 17, 2020","Anonymous Employee in Saint Louis, MO",Store Associate Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 days. I interviewed at CVS Health (Saint Louis, MO) in January 2020.",Application,What days and times are you available to work? Â  Answer Question
"Apr 5, 2020","Anonymous Interview Candidate in New York, NY",Sales Associate/Cashier Interview,Declined Offer,Neutral Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at CVS Health (New York, NY) in January 2020.",Application,Why do you want to work here Â  Answer Question
"Dec 24, 2019","Anonymous Employee in Dallas, TX",Account Manager Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 4+ weeks. I interviewed at CVS Health (Dallas, TX).",Application,What makes you the best candidate for this role? Â  Answer Question
"Dec 24, 2019",Anonymous Employee,Technician Interview,Accepted Offer,Positive Experience,Easy Interview,"The interview process was very smooth, easy and flexible. The hiring manager was very friendly and overall it was the great experience.
First I had the phone interview with manager and then in person with hiring manager.",Application,Experience Â  Answer Question
"Dec 9, 2019","Anonymous Employee in Spring House, PA",Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at CVS Health (Spring House, PA).",Application,What is your related experience to the Pharmacy Technician job role and how do you see yourself fitting in on my Pharmacy team? Â  Answer Question
"Dec 10, 2019",Anonymous Employee,Shift Supervisor Interview,Accepted Offer,Neutral Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,Can you count back change to a customer when ringing them up at the cash Â  1 Answer
"Dec 10, 2019",Anonymous Employee,Customer Service Representative Interview,Accepted Offer,Positive Experience,Easy Interview,Very easy interview that was less than 30 minutes. It depends who the store manager is at the time but for the most part pretty easy and friendly staff.,Application,Availability and schedule Â  Answer Question
"Dec 6, 2019",Anonymous Interview Candidate,Pharmacy Technician Interview,No Offer,Neutral Experience,Average Interview,"I arrived a few minutes early for my interview, waited to be seen in the pharmacy waiting area after confirming my arrival. Sat down for the interview in the employee area. The atmosphere was calm I didn't feel nervous and the Manager had a pleasant attitude not too hot or cold so to speak. Cvs applys you automatically for many positions however despite me applying for a full time I was directed to a part time offering.",Application,They asked if I had any experiecne working in a fast paced retail environment. Â  1 Answer
"Dec 5, 2019",Anonymous Employee,Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,The interview was very casual and laid back. Hiring manager was down to earth and easy to talk to. I felt no pressure at all. Advice is to just go in and be yourself.,Application,Tell me about yourself. Â  Answer Question
"Dec 4, 2019",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 3 weeks. I interviewed at CVS Health.,Application,What is one of your weaknesses? Â  Answer Question
"Dec 2, 2019",Anonymous Employee,CVS Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 3 weeks. I interviewed at CVS Health.,Application,Do you speak any other languages other than English? Â  1 Answer
"Nov 22, 2019",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 days. I interviewed at CVS Health.,Application,Where do you see yourself in a year? Â  1 Answer
"Nov 21, 2019",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,What my plans were after I graduate from college? Â  Answer Question
"Nov 21, 2019",Anonymous Employee,Floater Pharmacist Interview,Accepted Offer,Neutral Experience,Average Interview,it was by phone. the person was nice. i have worked for the company and this was just a transfer. people are just trying to do their job and interviewing you is part of their job,Application,patient care questions Â  1 Answer
"Nov 21, 2019",Anonymous Employee,Human Resources Hiring Agent Interview,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2 weeks. I interviewed at CVS Health.,Application,What is your greatest accomplishment? Â  1 Answer
"Nov 16, 2019",Anonymous Interview Candidate,Pharmacist Interview,No Offer,Negative Experience,Difficult Interview,I applied online. I interviewed at CVS Health.,Application,How would you manage the daily responsibilities Â  Answer Question
"Nov 11, 2019",Anonymous Employee,Pharm Tech Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at CVS Health.,Application,hows customer service Â  Answer Question
"Nov 10, 2019","Anonymous Employee in New York, NY",Customer Service Representative Interview,Accepted Offer,Positive Experience,Easy Interview,"The process took 4 weeks. I interviewed at CVS Health (New York, NY).",Application,background in health insurance Â  Answer Question
"Nov 4, 2019",Anonymous Employee,Shift Supervisor Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,Do you have cash handling experience Â  1 Answer
"Nov 6, 2019",Anonymous Interview Candidate,Analytics Consultant Interview,No Offer,Negative Experience,Average Interview,Had one round of phone interview with hiring manager followed by onsite interview with the team . The agenda they gave for the interview was not followed and they changed the plan,Application,They asked about spark and Hadoop and sql questions Â  Answer Question
"Dec 20, 2019","Anonymous Interview Candidate in Northbrook, IL",Senior Paralegal Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 8 weeks. I interviewed at CVS Health (Northbrook, IL) in November 2019.",Interview,Were you mad after you showed up last week and were told the position was filled? Â  Answer Question
"Nov 4, 2019","Anonymous Interview Candidate in Irving, TX",Account Manager Interview,Declined Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 3 weeks. I interviewed at CVS Health (Irving, TX).",Interview,Why do you want to work for CVS Â  Answer Question
"Nov 17, 2019","Anonymous Employee in Phoenix, AZ",Accounts Receivable Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at CVS Health (Phoenix, AZ) in November 2019.",Interview,They wanted more details on my previous experience and the recruiter also asked what I knew about the position. Â  1 Answer
"Nov 11, 2019","Anonymous Interview Candidate in New York, NY",Shift Supervisor Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took a week. I interviewed at CVS Health (New York, NY) in November 2019.",Interview,Just random questions about past jobs and management experience Â  Answer Question
"Nov 13, 2019","Anonymous Interview Candidate in Chicago, IL",Senior Java Developer Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at CVS Health (Chicago, IL) in November 2019.",Interview,Write a program to make an array act as a set along with unit test cases Â  Answer Question
"Nov 13, 2019","Anonymous Employee in Starkville, MS",Shift Manager Trainee Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at CVS Health (Starkville, MS) in November 2019.",Interview,What is your availability? Â  1 Answer
"Jan 22, 2020",Anonymous Interview Candidate,Pharmacy Operation Innovation Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at CVS Health in November 2019.,Interview,What do you know about CVS? Â  1 Answer
"Oct 31, 2019",Anonymous Employee,Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 5 days. I interviewed at CVS Health.,Interview,"""why do you want to work here"" Â  Answer Question"
"Oct 30, 2019",Anonymous Employee,Inter Pharmacist Interview,Accepted Offer,Positive Experience,,apply online they send you a HireVue link to access the interview. it is recorded and takes about 15-20 questions. practice available but diff questions. it is easy and convenient about 6 questions asked.,Interview,describe a difficult task u were faced with an how you addressed it. Â  Answer Question
"Oct 28, 2019",Anonymous Interview Candidate,Cashier Interview,No Offer,Positive Experience,Average Interview,The interview went really well and I had positive experience coming out of the interview. The manager was very professional and friendly and did not rush me during the interview like others.,Application,tell me one strength and one weakness Â  Answer Question
"Oct 28, 2019",Anonymous Interview Candidate,Customer Service Representative Interview,Declined Offer,Positive Experience,,I was asked many different questions about my resume and also on my past experiences and how my experiences would assist me in the current role I was looking to apply for.,Application,What is your past experience Â  Answer Question
"Oct 28, 2019","Anonymous Employee in Providence, RI",Digital Production Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. I interviewed at CVS Health (Providence, RI).",Application,Job History and how its relates to the job I was applying to. Â  1 Answer
"Oct 25, 2019","Anonymous Interview Candidate in Atlanta, GA",Clinical Advisor Interview,No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 4 weeks. I interviewed at CVS Health (Atlanta, GA).",Application,Opted not to submit virtual interview as it felt intrusive and disconnected. Â  Answer Question
"Oct 21, 2019",Anonymous Interview Candidate,Android Applications Development Advisor Interview,No Offer,Negative Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,Typical pre-screen questions. Â  Answer Question
"Oct 21, 2019",Anonymous Employee,Sales Associate Interview,Accepted Offer,Neutral Experience,,"overall a really good experience. however, did not follow through with the job due to another offer. Definitely recommend to anyone looking.overall a really good experience. however, did not follow through with the job due to another offer. Definitely recommend to anyone looking.overall a really good experience. however, did not follow through with the job due to another offer. Definitely recommend to anyone looking.",Application,how can the company benefit you? Â  1 Answer
"Oct 20, 2019",Anonymous Interview Candidate,General Management Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,Recall an experience you had explaining something to a non-technical person. Â  Answer Question
"Oct 19, 2019",Anonymous Employee,Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied through an employee referral. I interviewed at CVS Health.,Application,Tell me about yourself. Â  1 Answer
"Oct 17, 2019",Anonymous Employee,Pharmaceutical Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied through a recruiter. I interviewed at CVS Health.,Application,When can you start Â  1 Answer
"Oct 17, 2019",Anonymous Employee,Senior Analyst Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,Tell me something about yourself Â  Answer Question
"Oct 17, 2019",Anonymous Interview Candidate,Supply Chain Distribution Center Interview,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,what are your long term goals Â  Answer Question
"Oct 11, 2019",Anonymous Employee,Data Engi Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,SQL related question Â  Answer Question
"Oct 9, 2019",Anonymous Interview Candidate,SMIT Interview,No Offer,Negative Experience,Difficult Interview,"Two interviews, one with the store manager one with district the week after. They said they would call by the next week. It's been over a month and nothing. Very unprofessional.",Application,Tell a time you had a conflict with an employee and how you handled it. Â  Answer Question
"Oct 5, 2019",Anonymous Employee,Shift Supervisor Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,How would you handle an irate customer if they were wrong and you were right? Â  Answer Question
"Oct 3, 2019",Anonymous Employee,Part Time Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,What would you do if a customer asks for an item that is not on the shelf? Â  Answer Question
"Jan 7, 2020","Anonymous Interview Candidate in Boston, MA",Design Director UI Interview,No Offer,Negative Experience,Difficult Interview,"I applied online. I interviewed at CVS Health (Boston, MA) in October 2019.",Application,"The Questions were pretty run of the mill.
Why CVS and the like. Â  1 Answer"
"Oct 5, 2019","Anonymous Employee in Phoenix, AZ",Sales Associate/Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took a week. I interviewed at CVS Health (Phoenix, AZ) in October 2019.",Application,Skills Â  1 Answer
"Jan 3, 2020","Anonymous Interview Candidate in Irving, TX",Advisor Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took a week. I interviewed at CVS Health (Irving, TX) in October 2019.",Application,Why do you want to work here? Â  1 Answer
"Oct 27, 2019","Anonymous Employee in New Rochelle, NY",Shift Supervisor Interview,Accepted Offer,Negative Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at CVS Health (New Rochelle, NY) in October 2019.",Application,What do you want to work for CVS? Â  1 Answer
"Dec 28, 2019","Anonymous Employee in Los Angeles, CA",Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 5 days. I interviewed at CVS Health (Los Angeles, CA) in October 2019.",Application,Whatâs your biggest strength? Â  1 Answer
"Mar 2, 2020","Anonymous Interview Candidate in Chicago, IL",CVS Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 2+ weeks. I interviewed at CVS Health (Chicago, IL) in October 2019.",Application,Behavioral Â  1 Answer
"Oct 22, 2019","Anonymous Employee in Dearborn Heights, MI",Shift Supervisor Trainee Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2 days. I interviewed at CVS Health (Dearborn Heights, MI) in October 2019.",Application,"Since there is no management experience on your resume, why should we hire you as a manager? Â  1 Answer"
"Sep 24, 2019",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at CVS Health.,Application,How would you handle an upset customer who is wanting their medication right away? Â  Answer Question
"Sep 11, 2019",Anonymous Employee,Pharmacist Interview,Accepted Offer,Negative Experience,,"Was a long time ago and got the job out of school. Don't remember much, but we sat down with 3 or 4 different supervisors. It was a system where you go through each supervisor and they ask you different questions",Application,tell me about yourself Â  Answer Question
"Sep 6, 2019",Anonymous Interview Candidate,Pharmacy Technician Interview,Declined Offer,Positive Experience,,"it took two months for my background check but once i entered it was overall nice experience with cvs with great opportunity ,frankly co-workers and manager also you can work in different cvs chain stores",Application,qualification Â  Answer Question
"Sep 4, 2019",Anonymous Employee,Account Manager Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,Name a time when you had to tell a customer bad news to their questions. Â  Answer Question
"Sep 19, 2019",Anonymous Interview Candidate,Account Manager Interview,Declined Offer,Negative Experience,,I applied in-person. The process took 4+ weeks. I interviewed at CVS Health in September 2019.,Application,Why do you think you would be a good fit for CVS Health? Â  Answer Question
"Sep 29, 2019","Anonymous Employee in San Francisco, CA",Sales Associate Interview,Accepted Offer,Negative Experience,Easy Interview,"I applied online. The process took a week. I interviewed at CVS Health (San Francisco, CA) in September 2019.",Application,Tell me about yourself? Â  Answer Question
"Sep 20, 2019","Anonymous Employee in Lees Summit, MO",Customer Service Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 days. I interviewed at CVS Health (Lees Summit, MO) in September 2019.",Application,How do you handle an irate caller? Â  Answer Question
"Sep 13, 2019",Anonymous Interview Candidate,Product Owner Interview,No Offer,Negative Experience,Difficult Interview,I applied online. The process took a week. I interviewed at CVS Health in September 2019.,Application,Different between Product owner and product manager Â  Answer Question
"Sep 18, 2019","Anonymous Interview Candidate in Solon, OH",Call Center Representative - Medicare Part D Interview,No Offer,Negative Experience,Average Interview,"I applied online. The process took a week. I interviewed at CVS Health (Solon, OH) in September 2019.",Application,What does customer service mean to you? Â  1 Answer
"Nov 11, 2019","Anonymous Interview Candidate in Lumberton, NJ",Human Resources Interview,No Offer,Negative Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at CVS Health (Lumberton, NJ) in September 2019.",Application,Have I mentored someone in the past? Â  Answer Question
"Jan 15, 2020","Anonymous Interview Candidate in Oklahoma City, OK",Pharmacy Technician Interview,Declined Offer,Neutral Experience,Average Interview,"I applied in-person. I interviewed at CVS Health (Oklahoma City, OK) in September 2019.",Application,Why are PCQ calls not getting done Â  1 Answer
"Jan 15, 2020","Anonymous Employee in Plymouth, MN",Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 1 day. I interviewed at CVS Health (Plymouth, MN) in September 2019.",Application,How well do you deal under pressure or with upset customers ? Â  Answer Question
"Oct 30, 2019","Anonymous Interview Candidate in Boston, MA",Digital Health Interview,No Offer,Neutral Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at CVS Health (Boston, MA) in September 2019.",Application,Challenge you faced and how you overcame it Â  Answer Question
"Aug 27, 2019",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at CVS Health.,Application,Why CVS? Â  Answer Question
"Aug 20, 2019",Anonymous Interview Candidate,Human Resources Role Interview,No Offer,Negative Experience,,"Very nice interviewees. Multiple rounds of interviews upwards of 7-8 people. Process took multiple months to complete Poor follow up when asked about next steps
Slow to respond via email.",Application,Job related Â  Answer Question
"Aug 6, 2019",Anonymous Interview Candidate,Technician Interview,Declined Offer,Neutral Experience,Average Interview,I applied online. I interviewed at CVS Health.,Application,What previous jobs did you have? Â  Answer Question
"Jul 30, 2019","Anonymous Employee in Lake Worth, FL",Sales Associate/Cashier Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 1 day. I interviewed at CVS Health (Lake Worth, FL).",Application,How will you impact customers on a daily basis? Â  1 Answer
"Sep 3, 2019","Anonymous Employee in Monroeville, PA",Inbound Customer Service Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 5 days. I interviewed at CVS Health (Monroeville, PA) in August 2019.",Application,Describe a time when you handled a difficult situation successfully Â  1 Answer
"Sep 6, 2019","Anonymous Interview Candidate in Northbrook, IL",Research Analyst Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at CVS Health (Northbrook, IL) in August 2019.",Application,
"Sep 8, 2019","Anonymous Interview Candidate in Glasgow, KY",Production Supervisor Interview,No Offer,Negative Experience,Difficult Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at CVS Health (Glasgow, KY) in August 2019.",Application,Tell me some of your weaknesses. Â  Answer Question
"Aug 11, 2019","Anonymous Employee in Las Vegas, NV",Supervisor Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 3 weeks. I interviewed at CVS Health (Las Vegas, NV) in August 2019.",Application,"When you had a difficult task to complete, did you complete it, How did you complete it Â  1 Answer"
"Jul 23, 2019","Anonymous Employee in Phoenix, AZ",Pharmacist Interview,Accepted Offer,Neutral Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at CVS Health (Phoenix, AZ).",Application,Why do you want to work for CVS Â  Answer Question
"Jul 22, 2019",Anonymous Employee,Customer Service Representative Interview,Accepted Offer,Negative Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at CVS Health.,Application,how to handle customers regarding medications Â  Answer Question
"Jul 13, 2019",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Neutral Experience,Easy Interview,I applied through an employee referral. I interviewed at CVS Health.,Application,Why are you interested in this position? Â  Answer Question
"Jul 11, 2019",Anonymous Employee,Pharmacy Technician Interview,Accepted Offer,Positive Experience,,interview was quick and easy. sat down in the pharmacist consultation room for a pleasant interview. if i'm being honest I'm only doing this so I can see full results on this website,Application,not difficult Â  Answer Question
"Jul 5, 2019","Anonymous Interview Candidate in Boston, MA",Staff Pharmacist Interview,Declined Offer,Neutral Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at CVS Health (Boston, MA) in July 2019.",Application,"Typical questions, some I remember are:

-Tell me about yourself.
-What is your 5 year and 10 year plans?
-How would you hire technicians?
-Give me an example of when you demonstrated excellent customer service?
-What do you believe are important traits for a pharmacist?
-How do you prioritize if the store is busy?
-What would you do if a technician called out and left with only you and 1 other technician?
-What would you do if aâ¦Â  technician is consistently late?
-What would you do if 2 technicians aren't getting along? Â  Answer QuestionShow More"
