Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,Interview_Qs
"Mar 28, 2020","Anonymous Interview Candidate in Dublin, Co. Dublin (Ireland)",Marketing Graduate Programmer Interview,Declined Offer,Positive Experience,Difficult Interview,"I applied online. I interviewed at Procter & Gamble (Dublin, Co. Dublin (Ireland)) in March 2020.",Application,The one thing they asked me was why I wanted to work for P&G and how I could add to the company with my current and past experiences Â  Answer Question
"Mar 28, 2020",Anonymous Employee in Bengaluru (India),Associate Manager Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Procter & Gamble (Bengaluru (India)) in October 2016.,Application,Tell me about a time when you led a team Â  Answer Question
"Mar 27, 2020",Anonymous Interview Candidate,Human Resources Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Procter & Gamble.,Application,Preguntas situacionales y de experiencias pasadas Â  Answer Question
"Mar 23, 2020",Anonymous Employee in Geneva (Switzerland),IT Manager Interview,Accepted Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 3+ months. I interviewed at Procter & Gamble (Geneva (Switzerland)) in June 2018.,Application,Une situation difficile? Un travail en Ã©quipe? Un succÃ¨s? Â  1 Answer
"Mar 20, 2020",Anonymous Employee,Financial Analyst Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 3 days. I interviewed at Procter & Gamble.,Application,What did you learn throughout the experience A (in resume base)? Â  Answer Question
"Mar 20, 2020","Anonymous Employee in Manchester, England (UK)",Engineering Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 3+ months. I interviewed at Procter & Gamble (Manchester, England (UK)) in March 2019.",Application,Why did you apply to p&g? Â  Answer Question
"Mar 18, 2020",Anonymous Employee,Engineer Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at Procter & Gamble.,Application,"Are you the type of person to be more interactive with customers and look at things overall, or are you the type of person to design the machines and engineer it? Â  Answer Question"
"Mar 18, 2020","Anonymous Employee in London, England (UK)",Intermediate Finance Associate Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 4+ months. I interviewed at Procter & Gamble (London, England (UK)) in March 2020.",Application,what would you do to convince people to your iidea Â  Answer Question
"Mar 18, 2020",Anonymous Interview Candidate in Utrecht (Netherlands),Assistant Brand Management Interview,No Offer,Positive Experience,Difficult Interview,I applied online. The process took 3+ months. I interviewed at Procter & Gamble (Utrecht (Netherlands)) in February 2020.,Application,2) Tell me about a time you made a process more time or cost efficient. Â  Answer Question
"Mar 17, 2020","Anonymous Employee in Los Angeles, CA",Senior Warewash Specialist Interview,Accepted Offer,Positive Experience,Average Interview,"I applied in-person. The process took 4+ weeks. I interviewed at Procter & Gamble (Los Angeles, CA) in December 2016.",Application,What's your experience like working with warewashers and chemical dispensing equipment? Â  Answer Question
"Mar 15, 2020",Anonymous Interview Candidate in Hong Kong (Hong Kong),Assistant Brand Manager Interview,No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 2+ months. I interviewed at Procter & Gamble (Hong Kong (Hong Kong)) in November 2019.,Application,An experience indicating your leadership skills Â  Answer Question
"Mar 14, 2020",Anonymous Interview Candidate,Insights Manager Interview,No Offer,Negative Experience,Average Interview,The process took 4+ weeks. I interviewed at Procter & Gamble.,Application,"In social setting are you more likely to: introduce yourself, only accept introductions, do nothing and observe. Â  Answer Question"
"Mar 12, 2020","Anonymous Interview Candidate in Toronto, ON (Canada)",IT Interview,No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Procter & Gamble (Toronto, ON (Canada)) in February 2020.",Application,Describe a time you led a team. Â  Answer Question
"Mar 12, 2020",Anonymous Interview Candidate,Finance Analyst Interview,Declined Offer,Negative Experience,Average Interview,"Process is long-drawn. It began from filling up the survey form and a psychological questionnaire and there are 4 rounds of interview post that with P&G staff. After the final interview, I haven't heard back from P&G for a long time and thought that I was rejected but after many months, they finally got back and said I was accepted and was ready to discuss comp etc. The whole process took 1 year for me, in which I have already started at anothe job.",Application,The question was largely related to culture and requires candidate to use the STAR method to answer. Â  Answer Question
"Mar 11, 2020","Anonymous Employee in London, England (UK)",Engineer Interview,Accepted Offer,Positive Experience,,"I applied online. The process took 2 weeks. I interviewed at Procter & Gamble (London, England (UK)) in April 2018.",Application,Give me a time where you demonstrated leadership? Â  1 Answer
"Mar 11, 2020",Anonymous Employee,Stagair afstuderen WO Interview,Accepted Offer,Positive Experience,Difficult Interview,I applied online. The process took 4+ weeks. I interviewed at Procter & Gamble in November 2018.,Application,Kan je eens vertellen over een situatie waarin je deadline werd vervroegd Â  1 Answer
"Mar 11, 2020",Anonymous Interview Candidate,Financial Analyst Interview,Declined Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Procter & Gamble.,Application,Cosa faresti se dovessi lanciare un nuovo prodotto? Â  Answer Question
"Mar 10, 2020",Anonymous Interview Candidate in Sandton (South Africa),Senior Brand Financial Analyst Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 4 weeks. I interviewed at Procter & Gamble (Sandton (South Africa)) in March 2020.,Application,Give us an example of an innovation that you brought into your current role Â  Answer Question
"Mar 9, 2020",Anonymous Interview Candidate in KarÄchi (Pakistan),Process Engineer Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 3+ weeks. I interviewed at Procter & Gamble (KarÄchi (Pakistan)) in February 2020.,Application,Tell us of a time where you simplified a work process Â  Answer Question
"Mar 8, 2020",Anonymous Interview Candidate in Singapore (Singapore),Associate Manager Interview,Declined Offer,Negative Experience,Average Interview,The process took 4+ weeks. I interviewed at Procter & Gamble (Singapore (Singapore)).,Application,situational questions. Â  Answer Question
"Mar 7, 2020",Anonymous Interview Candidate,Internship Interview,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Procter & Gamble.,Application,Describe a situation.... Â  Answer Question
"Mar 2, 2020",Anonymous Employee,Process Engineer Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2+ months. I interviewed at Procter & Gamble in January 2020.,Application,Describe a situation where you improve a process Â  Answer Question
"Mar 2, 2020",Anonymous Interview Candidate,Research and Development Engineer Interview,No Offer,Positive Experience,Average Interview,I applied online. I interviewed at Procter & Gamble.,Application,Behavioral questions Â  Answer Question
"Mar 1, 2020",Anonymous Interview Candidate,Associate Plant Manager Interview,No Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Procter & Gamble.,Application,aptitude test was bit difficult.they asked memory based question.i was not able to clear aptitude test. Â  Answer Question
"Mar 1, 2020",Anonymous Interview Candidate,Brand Manager Interview,No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 1+ week. I interviewed at Procter & Gamble in March 2020.,Application,Are you willing to help out a co worker even if you have your own tasks Â  Answer Question
"Mar 1, 2020",Anonymous Interview Candidate,Process Engineer Interview,Declined Offer,Positive Experience,Average Interview,I applied online. I interviewed at Procter & Gamble.,Application,Describe a time you implemented a new process? Â  Answer Question
"Mar 1, 2020",Anonymous Interview Candidate,Assistant Brand Manager Interview,No Offer,Neutral Experience,,"The second step of the selection process was an online assessment that had some personality questions and cognitive ability tests which was a bit challenging. In total, it took me about one hour to complete. The second step of the selection process was an online assessment that had some personality questions and cognitive ability tests which was a bit challenging. In total, it took me about one hour to complete.",Application,Personality and cognitive tests. Â  Answer Question
"Feb 28, 2020",Anonymous Interview Candidate,R&D Interview,Declined Offer,Neutral Experience,Average Interview,I applied through a recruiter. I interviewed at Procter & Gamble.,Application,Tell me how did you reduced costs for a project of yours Â  Answer Question
"Feb 27, 2020",Anonymous Interview Candidate in Prague (Czech Republic),Internship Interview,No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 2 weeks. I interviewed at Procter & Gamble (Prague (Czech Republic)) in February 2020.,Application,Tell me about the time when you applied new approach to the existing process and it brought significant result Â  Answer Question
"Feb 26, 2020",Anonymous Interview Candidate,Brand Manager Interview,No Offer,Negative Experience,Difficult Interview,"Online assessment was very difficult, starting with personality questions and situational multiple choice and slider questions, such as ""please indicate the level of importance of each work feature below"" and then doing complicated math puzzles and memorization of dot pattens within a few seconds.",Application,How would others describe the quality of your work? Â  1 Answer
"Feb 24, 2020",Anonymous Employee in Nairobi (Kenya),Assistant Branch Manager Interview,Accepted Offer,Positive Experience,Difficult Interview,I applied online. The process took 2 weeks. I interviewed at Procter & Gamble (Nairobi (Kenya)) in February 2016.,Application,How can you roughly calculate the amount of powder detergent used per year in a Kenyan household. Â  1 Answer
"Feb 24, 2020","Anonymous Interview Candidate in Edmonton, AB (Canada)",Intern Interview,No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Procter & Gamble (Edmonton, AB (Canada)) in February 2020.",Application,tell me about yourself? Â  Answer Question
"Feb 23, 2020",Anonymous Employee in Warsaw (Poland),Associate Brand Manager Interview,Accepted Offer,Neutral Experience,Easy Interview,I applied online. The process took 2+ months. I interviewed at Procter & Gamble (Warsaw (Poland)) in May 2019.,Application,Describe a situation where you had to organize a large group of people to achieve a common goal; how did you do that? Â  Answer Question
"Feb 23, 2020",Anonymous Interview Candidate in Dubai (United Arab Emirates),Financial Analyst Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 6 weeks. I interviewed at Procter & Gamble (Dubai (United Arab Emirates)) in December 2019.,Application,The will ask you questions regarding bribery/unethical practices (during the scenario questions). Â  1 Answer
"Feb 20, 2020",Anonymous Interview Candidate in Budapest (Hungary),Internship Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 2 days. I interviewed at Procter & Gamble (Budapest (Hungary)) in February 2020.,Application,It was an online assessment Â  Answer Question
"Feb 20, 2020",Anonymous Employee in Kronberg im Taunus (Germany),Engineer Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 3 weeks. I interviewed at Procter & Gamble (Kronberg im Taunus (Germany)) in January 2020.,Application,"Peak performace interview questions , How do you handle during difference in openion in the team etc Â  1 Answer"
"Feb 19, 2020",Anonymous Interview Candidate in Zagreb (Croatia),Internship Interview,No Offer,Positive Experience,Difficult Interview,I applied online. The process took 4 weeks. I interviewed at Procter & Gamble (Zagreb (Croatia)) in September 2018.,Application,"My flaws, skills, previous experience, biggest accomplishments, how I work in a team.. Â  Answer Question"
"Feb 19, 2020",Anonymous Interview Candidate,Co-Op Interview,No Offer,Positive Experience,Difficult Interview,I applied online. The process took 3 weeks. I interviewed at Procter & Gamble in January 2020.,Application,"Project, leadership, conflict, Â  Answer Question"
"Feb 18, 2020",Anonymous Employee in Bucharest (Romania),Order Management Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 3+ weeks. I interviewed at Procter & Gamble (Bucharest (Romania)) in November 2019.,Application,Did you had any conflict with a work colleague? How did you handle it? What was the outcome? Â  Answer Question
"Feb 18, 2020",Anonymous Employee,Assistant Brand Manager Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2+ weeks. I interviewed at Procter & Gamble in November 2019.,Application,Describe a time where you had to make a decision using incomplete information Â  Answer Question
"Feb 17, 2020","Anonymous Interview Candidate in Fayetteville, AR",Insight Analyst Interview,No Offer,Negative Experience,,"I applied online. The process took 1 day. I interviewed at Procter & Gamble (Fayetteville, AR) in January 2020.",Application,"Mostly all behavioral such as ""would you do anything unethical for your own gain."" Â  Answer Question"
"Feb 17, 2020",Anonymous Interview Candidate in AsniÃ¨res-sur-Seine (France),Assistant Brand Manager Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took a week. I interviewed at Procter & Gamble (AsniÃ¨res-sur-Seine (France)) in February 2020.,Application,
"Feb 16, 2020","Anonymous Employee in Harrisburg, PA",Regional Sales Manager Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 2 weeks. I interviewed at Procter & Gamble (Harrisburg, PA).",Application,Tell me about a time you were faced with a challenging situation and how did you handle it? Â  1 Answer
"Feb 16, 2020",Anonymous Interview Candidate,Internship Interview,Declined Offer,Neutral Experience,Average Interview,The questions were all based on my own personal experience and behavior. Hour long interview(s). Very nice interviewers for the most part. First round one interviewer second round two to three,Application,Tell me about a time when ... Â  Answer Question
"Feb 15, 2020",Anonymous Interview Candidate in Ciudad de MÃ©xico (Mexico),Ingeniero Becario Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Procter & Gamble (Ciudad de MÃ©xico (Mexico)) in November 2019.,Application,Las preguntas estÃ¡n bÃ¡sicamente divididas en dos etapas: Â¿QuÃ© has hecho? (Contar sobre tus experiencias) y Â¿QuÃ© harÃ­as si...? (Responder quÃ© harÃ­as ante escenarios que ellos plantean) Â  1 Answer
"Feb 15, 2020",Anonymous Employee in Ciudad de MÃ©xico (Mexico),QuÃ­mico Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2+ months. I interviewed at Procter & Gamble (Ciudad de MÃ©xico (Mexico)) in January 2020.,Application,SoluciÃ³n de Problemas Â  1 Answer
"Feb 15, 2020","Anonymous Interview Candidate in London, England (UK)",Human Resources Graduate Interview,Declined Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Procter & Gamble (London, England (UK)) in February 2020.",Application,Why HR? Â  Answer Question
"Feb 13, 2020","Anonymous Employee in SÃ£o Paulo, SÃ£o Paulo (Brazil)",EstÃ¡gio Superior Interview,Accepted Offer,Neutral Experience,Easy Interview,"I applied online. The process took a week. I interviewed at Procter & Gamble (SÃ£o Paulo, SÃ£o Paulo (Brazil)) in June 2019.",Application,Botavam situaÃ§Ãµes hipotÃ©ticas e vocÃª precisava responder qual a sua postura diante daquela situaÃ§Ã£o. Â  Answer Question
"Feb 11, 2020",Anonymous Employee in Baku (Azerbaijan),Brand Operations Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at Procter & Gamble (Baku (Azerbaijan)).,Application,Tell me how you overcame obstacles? Â  Answer Question
"Feb 10, 2020",Anonymous Interview Candidate,Logistician Interview,No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 4+ weeks. I interviewed at Procter & Gamble in January 2020.,Application,How you solve problems ? Â  1 Answer
"Feb 9, 2020",Anonymous Employee in Casablanca (Morocco),Assistant Brand Manager Interview,Accepted Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Procter & Gamble (Casablanca (Morocco)).,Application,Describe a situation where you helped a group of people to accomplish significant results Â  Answer Question
"Feb 4, 2020","Anonymous Employee in MedellÃ­n, Antioquia (Colombia)",Intern Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied online. The process took 2 weeks. I interviewed at Procter & Gamble (MedellÃ­n, Antioquia (Colombia)) in February 2020.",Application,Cuando habia propuesto algo nuevo? Â  Answer Question
"Feb 3, 2020",Anonymous Interview Candidate,Consumer Specialist Interview,No Offer,Negative Experience,Easy Interview,I applied through a recruiter. I interviewed at Procter & Gamble.,Application,No question was asked Â  Answer Question
"Feb 3, 2020",Anonymous Employee,Internship Interview,Accepted Offer,Positive Experience,,"Multiple interviews will be held. Starting off with the first interview to assess your competency, if they are interested they will schedule future interviews.

The interviews are mostly behavioral questions where they will tell you a scenario and ask you how would you act. The interviews will require introducing yourself; qualifications, interests, and future goals.",Application,Most of the questions are behavioral questions similar to the examples they will supply you with. In all if the interviews you will have they will be asking similar behavioral questions. Â  Answer Question
"Feb 2, 2020",Anonymous Employee in Louveira (Brazil),Financeiro Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at Procter & Gamble (Louveira (Brazil)) in December 2016.,Application,Diga uma vez em que vocÃª teve que convencer um grupo ou um superior a mudar de opiniÃ£o Â  Answer Question
"Feb 1, 2020",Anonymous Employee,Process Engineer Interview,Accepted Offer,Positive Experience,Average Interview,The process took 1 day. I interviewed at Procter & Gamble.,Application,Tell.me about a time where you had a conict in your team...howndid you resolve it? Â  Answer Question
"Jan 29, 2020",Anonymous Interview Candidate in Buenos Aires (Argentina),Pasante para Ventas Interview,No Offer,Negative Experience,Average Interview,I applied online. The process took 1 day. I interviewed at Procter & Gamble (Buenos Aires (Argentina)) in December 2019.,Application,Preguntas situacionales Â  Answer Question
"Jan 28, 2020","Anonymous Interview Candidate in Chicago, IL",Intern Interview,No Offer,Neutral Experience,Difficult Interview,"I applied through a recruiter. The process took 2 days. I interviewed at Procter & Gamble (Chicago, IL) in October 2018.",Application,Tell me about a time you took a system apart and made it more efficient. Â  Answer Question
"Jan 27, 2020",Anonymous Interview Candidate in Singapore (Singapore),Marketing Interview,No Offer,Neutral Experience,,I applied online. The process took 1 day. I interviewed at Procter & Gamble (Singapore (Singapore)) in January 2020.,Application,hypothetical questions about work ethics Â  Answer Question
"Jan 27, 2020",Anonymous Interview Candidate,Associate Software Engineer Interview,No Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Procter & Gamble.,Application,"What's your long term goal ?
Why should I hire you? Â  Answer Question"
"Jan 27, 2020",Anonymous Interview Candidate,Junior Planning Manager Interview,No Offer,Negative Experience,Difficult Interview,I applied online. I interviewed at Procter & Gamble in November 2019.,Application,What is your weaknesses? Â  Answer Question
"Jan 24, 2020",Anonymous Interview Candidate in Antwerp (Belgium),"Director, Manufacturing and Process Engineering Interview",No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 4+ weeks. I interviewed at Procter & Gamble (Antwerp (Belgium)) in January 2020.,Application,Les questions sont essentiellement centrÃ©es sur votre personnalitÃ© et votre capacitÃ© a exÃ©cuter les missions du postes sollicite Â  Answer Question
"Jan 23, 2020","Anonymous Employee in New York, NY",Ingeniero En Manufactura Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at Procter & Gamble (New York, NY) in October 2019.",Application,cuando has sido lÃ­der? Â  Answer Question
"Jan 22, 2020",Anonymous Interview Candidate,Internship Interview,Declined Offer,Positive Experience,Average Interview,I applied online. I interviewed at Procter & Gamble.,Application,quanto ti senti identificato con una persona che prende confidenza subito ? Â  Answer Question
"Jan 22, 2020","Anonymous Interview Candidate in Cincinnati, OH",Marketing Specialist Interview,Declined Offer,Negative Experience,Difficult Interview,"I applied online. The process took 4 weeks. I interviewed at Procter & Gamble (Cincinnati, OH) in October 2019.",Application,"Situational Questions, STAR Method. They ask you some odd things, even though (based on your resume) they should know it is a question you may only be able to answer with a lie or by saying ""I have never been in this situation"". Â  Answer Question"
"Jan 22, 2020",Anonymous Interview Candidate in Singapore (Singapore),R&D Interview,No Offer,Neutral Experience,Difficult Interview,I applied through college or university. The process took a week. I interviewed at Procter & Gamble (Singapore (Singapore)) in January 2018.,Interview,Classical 8 questions on behavioural and situational reactions Â  Answer Question
"Jan 21, 2020",Anonymous Employee,Master Thesis Student Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 4+ weeks. I interviewed at Procter & Gamble in January 2020.,Interview,Descrivi una o piÃ¹ esperienze in cui hai dimostrato di saper risolvere dei problemi con successo. Â  1 Answer
"Jan 20, 2020",Anonymous Interview Candidate,Finance and Accounting Intern Interview,No Offer,Negative Experience,Difficult Interview,I applied online. The process took a week. I interviewed at Procter & Gamble.,Interview,Remembering shapes in order of appearance Â  Answer Question
"Jan 17, 2020",Anonymous Interview Candidate,Financial Analyst Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Procter & Gamble in October 2019.,Interview,self-introduction; leadership experience Â  Answer Question
"Jan 15, 2020",Anonymous Interview Candidate in Frankfurt am Main (Germany),R&D Interview,No Offer,Positive Experience,Difficult Interview,I applied online. I interviewed at Procter & Gamble (Frankfurt am Main (Germany)) in December 2018.,Interview,"Tell me about your strenghts and weaknesses
Give me an example that you worked within a team Â  Answer Question"
"Jan 14, 2020","Anonymous Interview Candidate in Toronto, ON (Canada)",For Sales Interview,No Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Procter & Gamble (Toronto, ON (Canada)) in October 2019.",Interview,Tell me about a time you walk into a group to solve a challenging problem Â  1 Answer
"Jan 14, 2020","Anonymous Interview Candidate in Lima, OH",Product Supply Engineering Interview,No Offer,Neutral Experience,Average Interview,"The process took 2+ months. I interviewed at Procter & Gamble (Lima, OH) in December 2019.",Interview,"What was a time that you dealt with an obstacle and how did you deal with it?
Tell us about a time when you noticed a defect in an established process and how did you fix it? Â  Answer Question"
"Jan 13, 2020",Anonymous Interview Candidate,Manufacturing Engineer Interview,Declined Offer,Positive Experience,Easy Interview,I applied through college or university. I interviewed at Procter & Gamble.,Interview,"If you were given a project that you had to finish in 1 day, 1 week, 1 month and then 1 year what would you do for each deadline? Â  Answer Question"
"Jan 12, 2020",Anonymous Employee,Intern Sales Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 4+ months. I interviewed at Procter & Gamble in June 2019.,Interview,Describe una situaciÃ³n de liderazgo Â  Answer Question
"Jan 8, 2020",Anonymous Employee in Crailsheim (Germany),Future Female Leader Event Interview,Accepted Offer,Neutral Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Procter & Gamble (Crailsheim (Germany)) in November 2018.,Application,Tell me a bit about yourself Â  Answer Question
"Jan 6, 2020","Anonymous Employee in Cincinnati, OH",PhD Seminar Student Interview,Accepted Offer,Positive Experience,Difficult Interview,"I applied through an employee referral. The process took a week. I interviewed at Procter & Gamble (Cincinnati, OH) in August 2017.",Application,To complete an intelligence test. Â  1 Answer
"Jan 5, 2020",Anonymous Interview Candidate,Financial Analyst Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 1 day. I interviewed at Procter & Gamble.,Application,Tell me about a time when you improved a process Â  Answer Question
