Date,Location,Job,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Aug 2, 2019","Anonymous Employee in Dallas, TX",TimeKeeping Specialist Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at Southwest Airlines (Dallas, TX) in July 2019.",Application,Why southwest? Â  Answer Question
"Jun 21, 2019",Anonymous Employee,Ramp Agent Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 days. I interviewed at Southwest Airlines.,Application,What is one skill you have that would think makes you a perfect fit for this role? Â  Answer Question
"Jun 24, 2019","Anonymous Employee in Tampa, FL",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. The process took 4+ weeks. I interviewed at Southwest Airlines (Tampa, FL) in June 2019.",Application,
"Jun 27, 2019","Anonymous Interview Candidate in Dallas, TX",Flight Attendant Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 12+ months. I interviewed at Southwest Airlines (Dallas, TX) in June 2019.",Application,Tell me about a situation when you had to deal with an upset customer. Â  Answer Question
"Jul 5, 2019","Anonymous Interview Candidate in Dallas, TX",ITSM Consultant Interview,No Offer,Negative Experience,Easy Interview,"I applied through a staffing agency. The process took 2 weeks. I interviewed at Southwest Airlines (Dallas, TX) in June 2019.",Application,Q: Tell me about your experience with AGILE methodology. Â  Answer Question
"Sep 16, 2019","Anonymous Interview Candidate in Dallas, TX",Business Analyst Interview,Declined Offer,Neutral Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Southwest Airlines (Dallas, TX) in June 2019.",Application,Behavior Questions that have been around for years. Â  Answer Question
"Jun 28, 2019","Anonymous Interview Candidate in Chicago, IL",Station Administrator Interview,No Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Southwest Airlines (Chicago, IL) in June 2019.",Application,Why do you want to work for Southwest Airlines? Â  1 Answer
"May 21, 2019","Anonymous Employee in Santa Ana, CA",Operations Agent Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 6 days. I interviewed at Southwest Airlines (Santa Ana, CA) in May 2019.",Application,why would you like to work for Southwest Airlines Â  Answer Question
"Jun 19, 2019","Anonymous Employee in Dallas, TX",Staff Engineer Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 6 weeks. I interviewed at Southwest Airlines (Dallas, TX) in May 2019.",Application,What was the take away from my research experience ? What makes me a great fit to the SWA's work culture? Â  Answer Question
"May 29, 2019","Anonymous Employee in Las Vegas, NV",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Southwest Airlines (Las Vegas, NV) in May 2019.",Application,Why you want to work in this company Â  1 Answer
"May 23, 2019","Anonymous Interview Candidate in Dallas, TX",Data Analyst Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Southwest Airlines (Dallas, TX) in May 2019.",Application,Why do you want to switch industries? Â  1 Answer
"Apr 16, 2019","Anonymous Interview Candidate in Dallas, TX",Tech Ops Interview,Declined Offer,Neutral Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Southwest Airlines (Dallas, TX).",Application,What is your preferred management style? Â  Answer Question
"Jul 29, 2019","Anonymous Interview Candidate in Dallas, TX",Project Manager Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Southwest Airlines (Dallas, TX) in April 2019.",Application,"Was getting ""this"" certification worth it? Would you do it again? Â  1 Answer"
"Apr 1, 2019",Anonymous Interview Candidate,Flight Attendant Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 12+ months. I interviewed at Southwest Airlines in April 2019.,Application,"Why Southwest?
Where do I see myself in 10 years?
A time I went above and beyond
A time I responded to an emergency
Why do I want to be a flight attendant?
What I do at my current job? Â  Answer Question"
"Jul 1, 2019",Anonymous Interview Candidate,Flight Attendant Interview,No Offer,Neutral Experience,Average Interview,I applied online. The process took 12+ months. I interviewed at Southwest Airlines in April 2019.,Application,Why do you want to work for Skywest? Â  Answer Question
"Feb 24, 2020","Anonymous Employee in Dallas, TX",Software Engineer(Internship) Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Southwest Airlines (Dallas, TX) in April 2019.",Application,Tell me about the projects on your resume. Â  Answer Question
"Mar 18, 2019",Anonymous Interview Candidate,Customer Service Representative Interview,No Offer,Positive Experience,Average Interview,I applied online. The process took 3+ months. I interviewed at Southwest Airlines.,Application,Why do you want to work for Southwest? Â  Answer Question
"Apr 24, 2019","Anonymous Interview Candidate in Dallas, TX",Analyst Interview,No Offer,Neutral Experience,Difficult Interview,"I applied through an employee referral. The process took 6 weeks. I interviewed at Southwest Airlines (Dallas, TX) in March 2019.",Application,Why you over other candidates? Â  Answer Question
"Apr 1, 2019","Anonymous Employee in Dallas, TX",Intern Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Southwest Airlines (Dallas, TX) in March 2019.",Application,Tell us about a time when a team member was not completing their fair share of the work and how you handled that. Â  Answer Question
"Apr 2, 2019","Anonymous Employee in Dallas, TX",Intern - Hourly Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3 weeks. I interviewed at Southwest Airlines (Dallas, TX) in March 2019.",Application,Why are you the best fit for this position? Â  1 Answer
"Sep 25, 2019","Anonymous Employee in Dallas, TX",Business Technology Analyst Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 6+ months. I interviewed at Southwest Airlines (Dallas, TX) in March 2019.",Application,Why Southwest? Â  1 Answer
"Feb 20, 2019","Anonymous Interview Candidate in Dallas, TX",Project Manager Interview,No Offer,Negative Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at Southwest Airlines (Dallas, TX) in February 2019.",Application,Nothing out of the ordinary. Regular questions Â  Answer Question
"Feb 15, 2019","Anonymous Employee in San Jose, CA",Customer Service Agent Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 5 weeks. I interviewed at Southwest Airlines (San Jose, CA) in February 2019.",Application,Why do you want to work at Southwest? Â  Answer Question
"Mar 17, 2019","Anonymous Interview Candidate in Dallas, TX",Corporate Sales Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at Southwest Airlines (Dallas, TX) in February 2019.",Application,Why Southwest? Â  Answer Question
"Feb 13, 2019","Anonymous Interview Candidate in Chicago, IL",National Sales Executive Interview,No Offer,Negative Experience,Average Interview,"I applied online. I interviewed at Southwest Airlines (Chicago, IL) in February 2019.",Application,Recruiter: Can you tell me why you had a four month gap between these two jobs? Â  1 Answer
"May 9, 2019","Anonymous Employee in Dallas, TX",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Southwest Airlines (Dallas, TX) in February 2019.",Application,Why do you want to work for Southwest Â  Answer Question
"Feb 3, 2019","Anonymous Interview Candidate in Dallas, TX",Engineering Co-Op Interview,Declined Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Southwest Airlines (Dallas, TX).",Application,Name a time you dealt with difficulty in a team setting? Â  Answer Question
"Feb 25, 2019","Anonymous Interview Candidate in Los Angeles, CA",Intern Interview,No Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Southwest Airlines (Los Angeles, CA) in February 2019.",Application,What is your Favorite Class? Â  Answer Question
"May 9, 2019","Anonymous Interview Candidate in Dallas, TX",Flight Attendant Interview,No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 12+ months. I interviewed at Southwest Airlines (Dallas, TX) in February 2019.",Application,Have you ever had an issue with another employee? How did you resolve it? Â  Answer Question
"Feb 22, 2019","Anonymous Employee in Dallas, TX",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Southwest Airlines (Dallas, TX) in February 2019.",Application,tell.about a Time when you went above a d beyond Â  Answer Question
"Jan 15, 2019","Anonymous Employee in Atlanta, GA",Customer Service Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Southwest Airlines (Atlanta, GA).",Application,Tell me about your customer service experience. Â  Answer Question
"Jan 10, 2019",Anonymous Employee,Customer Service Representative Interview,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Southwest Airlines.,Application,Why do you want to work for Southwest? Â  Answer Question
"Feb 27, 2019","Anonymous Employee in Dallas, TX",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at Southwest Airlines (Dallas, TX) in January 2019.",Application,Where do you see yourself in 10 years? Â  1 Answer
"Apr 4, 2019","Anonymous Interview Candidate in Dallas, TX",Senior Analyst Interview,Declined Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 weeks. I interviewed at Southwest Airlines (Dallas, TX) in January 2019.",Application,Why Southwest? Â  Answer Question
"Mar 15, 2019","Anonymous Employee in Chicago, IL",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 11+ months. I interviewed at Southwest Airlines (Chicago, IL) in January 2019.",Application,Why Southwest? Â  Answer Question
"Sep 18, 2019","Anonymous Employee in Dallas, TX",FP&A Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Southwest Airlines (Dallas, TX) in January 2019.",Application,What is the biggest expense in the industry? Â  Answer Question
"Feb 19, 2019","Anonymous Employee in Las Vegas, NV",Customer Service Agent Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 6+ weeks. I interviewed at Southwest Airlines (Las Vegas, NV) in January 2019.",Application,Name a time you went above and beyond in your job Â  Answer Question
"Feb 4, 2019","Anonymous Interview Candidate in Dallas, TX",Flight Attendant Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ months. I interviewed at Southwest Airlines (Dallas, TX) in December 2018.",Application,What is the main function of a Flight Attendant? Â  1 Answer
"Feb 7, 2019",Anonymous Employee,Customer Service Agent Interview,Accepted Offer,Positive Experience,Difficult Interview,I applied online. The process took 3 weeks. I interviewed at Southwest Airlines in December 2018.,Application,Describe a time you had to deal with a difficult customer and what you did. Â  Answer Question
"Nov 21, 2018","Anonymous Interview Candidate in Dallas, TX",Culture Services Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 4 weeks. I interviewed at Southwest Airlines (Dallas, TX).",Application,Why Southwest? Â  Answer Question
"Dec 1, 2018","Anonymous Employee in Dallas, TX",Flight Attendant Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 9+ months. I interviewed at Southwest Airlines (Dallas, TX) in November 2018.",Application,What are the things you like about your current position? Â  Answer Question
"Nov 13, 2018","Anonymous Interview Candidate in New York, NY",Bilingual Flight Attendant Interview,No Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 3+ months. I interviewed at Southwest Airlines (New York, NY) in November 2018.",Application,What is your biggest challenge? Â  Answer Question
"Jan 30, 2019","Anonymous Employee in Dallas, TX",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 12+ months. I interviewed at Southwest Airlines (Dallas, TX) in November 2018.",Application,How is your customer service Â  1 Answer
"Mar 1, 2019","Anonymous Employee in Dallas, TX",Associate Analyst Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 3+ months. I interviewed at Southwest Airlines (Dallas, TX) in November 2018.",Application,Consider your past experiences. What would you have done differently in your jobs before that may have helped you be more successful? Â  Answer Question
"Nov 30, 2018","Anonymous Employee in Houston, TX",Customer Service Representative Interview,Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. I interviewed at Southwest Airlines (Houston, TX) in November 2018.",Application,Why Southwest Airlines? Â  Answer Question
"Jan 8, 2019","Anonymous Employee in Cleveland, OH",CSA Agent Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ months. I interviewed at Southwest Airlines (Cleveland, OH) in November 2018.",Application,What do you know about the duties of a Customer Service Agent? Â  Answer Question
"Dec 26, 2018","Anonymous Interview Candidate in Los Angeles, CA",Flight Attendant Interview,No Offer,Negative Experience,Difficult Interview,"I applied online. I interviewed at Southwest Airlines (Los Angeles, CA) in November 2018.",Application,Why southwest? Â  1 Answer
"Nov 1, 2018",Anonymous Interview Candidate,Customer Service Agent Interview,No Offer,Positive Experience,Average Interview,"First I got an e-mail and it had said they had given me a call and to finish a employment application, once I was done I got a phone call to set up an interview for the next day. I got another called that their system was down and moved my interview up to Monday. I got the call at 3 which was my interview time and the phone interview was about 15-20 minutes he was very nice and said he would get back to me by Friday. Thursday I got another e-mail that said they had moved on with a different candidate.",Application,What is the most challenging thing in customer service? Â  Answer Question
"Oct 21, 2018","Anonymous Employee in Oklahoma City, OK",Flight Attendant Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 3+ months. I interviewed at Southwest Airlines (Oklahoma City, OK) in October 2018.",Application,Why Southwest? Â  Answer Question
"Oct 17, 2018",Anonymous Interview Candidate,Ramp Agent Interview,No Offer,Neutral Experience,Difficult Interview,I applied through a recruiter. The process took 3 weeks. I interviewed at Southwest Airlines.,Application,How can you show hospitality as a ramp agent? Â  Answer Question
"Oct 15, 2018",Anonymous Interview Candidate,Flight Attendant Interview,No Offer,Positive Experience,,The process took 3+ months. I interviewed at Southwest Airlines.,Application,Why SWA? Â  Answer Question
"Oct 14, 2018",Anonymous Employee,Intern Interview,Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Southwest Airlines.,Application,What are my strengths Â  Answer Question
"Oct 12, 2018",Anonymous Employee,Customer Service Agent Interview,Accepted Offer,Positive Experience,Average Interview,"Applied online in September 2018, did a phone interview October 1, then a F2F interview on October 11, now waiting for my back ground check to be completed. Waiting patiently for next form of contact to continue the hiring process.",Application,How would you handle an irate customer Â  1 Answer
"Feb 26, 2019","Anonymous Interview Candidate in Dallas, TX",Fight Attendant Interview,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 7+ months. I interviewed at Southwest Airlines (Dallas, TX) in October 2018.",Application,Talk about a time you went above and beyond for a co-worker. Talk about a time you respond to an emergency situation. Why do you want to work for Southwest Airlines? What does being a flight attendant entail? What do you do for fun? Â  Answer Question
"Oct 12, 2018","Anonymous Interview Candidate in Phoenix, AZ",Ramp Agent Interview,No Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Southwest Airlines (Phoenix, AZ) in October 2018.",Application,Tell us what you know about the Ramp position Â  Answer Question
"Oct 22, 2018","Anonymous Interview Candidate in Dallas, TX",Associate Software Engineer Interview,No Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Southwest Airlines (Dallas, TX) in October 2018.",Application,Why Southwest? Â  Answer Question
"Dec 4, 2018","Anonymous Employee in Dallas, TX",Internship Interview,Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 2+ months. I interviewed at Southwest Airlines (Dallas, TX) in October 2018.",Application,Why Southwest Â  1 Answer
"Nov 17, 2018","Anonymous Interview Candidate in Dallas, TX",Senior Business Analyst Interview,No Offer,Neutral Experience,Average Interview,"I applied online. The process took 6 weeks. I interviewed at Southwest Airlines (Dallas, TX) in October 2018.",Application,how would you analyze transactions that take long time to execute? Â  Answer Question
"Mar 13, 2019",Anonymous Interview Candidate,Project Engineer Interview,No Offer,Negative Experience,Easy Interview,The process took 4+ weeks. I interviewed at Southwest Airlines in October 2018.,Application,Why do you want to work for Southwest? Â  Answer Question
"Oct 3, 2018","Anonymous Employee in Oakland, CA",Customer Service Agent Interview,Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 weeks. I interviewed at Southwest Airlines (Oakland, CA) in October 2018.",Application,Why do you want to work for Southwest? Â  Answer Question
"Mar 8, 2019","Anonymous Interview Candidate in Atlanta, GA",Mechanic Interview,No Offer,Positive Experience,Average Interview,"I applied online. The process took 5 weeks. I interviewed at Southwest Airlines (Atlanta, GA) in October 2018.",Application,What is your biggest weakness. Â  Answer Question
